[20190512_142101 / views.py:14754]
bardatas_1 : 0 : datetime	2017.11.21 10:00
bardatas_1 : -1 : datetime	2017.12.01 17:00

bardatas_2 : 0 : datetime	2017.11.21 10:00
bardatas_2 : -1 : datetime	2017.12.01 17:00

fname_Src_CSV_1	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190508_143318).20190311_090020.csv
fname_Src_CSV_2	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190506_230346).20190307_144106.csv
slice by	through
this file	debug.[Sec_1_A13_Correl].(20190512_142059).dat
pair_1	AUDJPY
timeframe_1	H1
start_1	2017.11.21 10:00
end_1	2019.05.08 08:00
[DEBUG]===========================
bardatas_1 : 0 : datetime	2017.11.21 10:00
bardatas_1 : -1 : datetime	2017.12.01 17:00

bardatas_2 : 0 : datetime	2017.11.21 10:00
bardatas_2 : -1 : datetime	2017.12.01 17:00
[/DEBUG]===========================/

[correls]===========================
numOf_Request_BDs	200
numOf_BDs_For_Correl_Op	20
s.n.	list index	bd_1(last datetime)	bd_2(last datetime)	correl	bd_1.PC	bd_2.PC
81	80	2017.11.27 13:00	2017.11.27 13:00	0.61682023	84.993	132.771
82	81	2017.11.27 14:00	2017.11.27 14:00	0.59699860	84.756	132.614
83	82	2017.11.27 15:00	2017.11.27 15:00	0.61460390	84.687	132.627
84	83	2017.11.27 16:00	2017.11.27 16:00	0.64192835	84.598	132.651
85	84	2017.11.27 17:00	2017.11.27 17:00	0.65262374	84.620	132.349
86	85	2017.11.27 18:00	2017.11.27 18:00	0.73829258	84.404	132.203
87	86	2017.11.27 19:00	2017.11.27 19:00	0.77326649	84.487	132.178
88	87	2017.11.27 20:00	2017.11.27 20:00	0.78641418	84.505	132.198
89	88	2017.11.27 21:00	2017.11.27 21:00	0.78567171	84.448	132.098
90	89	2017.11.27 22:00	2017.11.27 22:00	0.78381477	84.475	132.188
91	90	2017.11.27 23:00	2017.11.27 23:00	0.82042731	84.448	132.164
92	91	2017.11.28 00:00	2017.11.28 00:00	0.84809909	84.429	132.162
93	92	2017.11.28 01:00	2017.11.28 01:00	0.86371236	84.544	132.300
94	93	2017.11.28 02:00	2017.11.28 02:00	0.88916670	84.457	132.182
95	94	2017.11.28 03:00	2017.11.28 03:00	0.90555723	84.655	132.449
96	95	2017.11.28 04:00	2017.11.28 04:00	0.91802674	84.580	132.416
97	96	2017.11.28 05:00	2017.11.28 05:00	0.92793574	84.542	132.346
98	97	2017.11.28 06:00	2017.11.28 06:00	0.92453913	84.603	132.323
99	98	2017.11.28 07:00	2017.11.28 07:00	0.90902112	84.629	132.323
100	99	2017.11.28 08:00	2017.11.28 08:00	0.88662030	84.629	132.413
101	100	2017.11.28 09:00	2017.11.28 09:00	0.86170124	84.576	132.316
102	101	2017.11.28 10:00	2017.11.28 10:00	0.79313952	84.540	132.509
103	102	2017.11.28 11:00	2017.11.28 11:00	0.74608723	84.505	132.279
104	103	2017.11.28 12:00	2017.11.28 12:00	0.79070795	84.604	132.318
105	104	2017.11.28 13:00	2017.11.28 13:00	0.75889982	84.709	132.359
106	105	2017.11.28 14:00	2017.11.28 14:00	0.66687102	84.659	132.216
107	106	2017.11.28 15:00	2017.11.28 15:00	0.65162915	84.621	132.322
108	107	2017.11.28 16:00	2017.11.28 16:00	0.62449474	84.629	132.286
109	108	2017.11.28 17:00	2017.11.28 17:00	0.50698859	84.575	132.116
110	109	2017.11.28 18:00	2017.11.28 18:00	0.27027858	84.646	132.013
111	110	2017.11.28 19:00	2017.11.28 19:00	0.05451749	84.669	132.050
112	111	2017.11.28 20:00	2017.11.28 20:00	-0.06056023	84.597	131.888
113	112	2017.11.28 21:00	2017.11.28 21:00	-0.17063373	84.755	132.090
114	113	2017.11.28 22:00	2017.11.28 22:00	-0.33373303	84.679	131.977
115	114	2017.11.28 23:00	2017.11.28 23:00	-0.40962757	84.655	131.986
116	115	2017.11.29 00:00	2017.11.29 00:00	-0.41812131	84.741	132.086
117	116	2017.11.29 01:00	2017.11.29 01:00	-0.20356254	84.911	132.274
118	117	2017.11.29 02:00	2017.11.29 02:00	-0.15416919	84.821	132.234
119	118	2017.11.29 03:00	2017.11.29 03:00	-0.14189928	84.791	132.187
120	119	2017.11.29 04:00	2017.11.29 04:00	-0.11413762	84.652	132.072
121	120	2017.11.29 05:00	2017.11.29 05:00	-0.04448417	84.521	132.120
122	121	2017.11.29 06:00	2017.11.29 06:00	0.12699164	84.579	132.138
123	122	2017.11.29 07:00	2017.11.29 07:00	0.22976871	84.659	132.216
124	123	2017.11.29 08:00	2017.11.29 08:00	0.27841521	84.634	132.238
125	124	2017.11.29 09:00	2017.11.29 09:00	0.19442492	84.586	132.278
126	125	2017.11.29 10:00	2017.11.29 10:00	0.14535553	84.590	132.269
127	126	2017.11.29 11:00	2017.11.29 11:00	0.07405518	84.498	132.278
128	127	2017.11.29 12:00	2017.11.29 12:00	0.09601026	84.540	132.131
129	128	2017.11.29 13:00	2017.11.29 13:00	0.07239609	84.553	132.171
130	129	2017.11.29 14:00	2017.11.29 14:00	0.07519897	84.588	132.121
131	130	2017.11.29 15:00	2017.11.29 15:00	0.08810247	84.668	132.573
132	131	2017.11.29 16:00	2017.11.29 16:00	0.06744855	84.682	132.643
133	132	2017.11.29 17:00	2017.11.29 17:00	0.21360685	84.772	132.614
134	133	2017.11.29 18:00	2017.11.29 18:00	0.19984080	84.613	132.519
135	134	2017.11.29 19:00	2017.11.29 19:00	0.25504024	84.725	132.641
136	135	2017.11.29 20:00	2017.11.29 20:00	0.35451717	84.736	132.694
