[20190326_131944 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190326_131939).(USDJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
total bars	50000

[20190326_131944 / views.py:12036]
[20190326_131944 / views.py:11765]==============================
average	0.055
max	0.441
min	-0.030
variance	0.0018785
std	0.04334
median	0.043

[20190326_131944 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
443	2018.10.17 13:55	0.026	43.41
444	2018.10.17 22:05	0.080	55.86
445	2018.10.17 23:25	0.059	51.02
446	2018.10.18 10:20	0.075	54.71
447	2018.10.18 10:25	0.068	53.10
448	2018.10.18 15:55	0.044	47.56
449	2018.10.18 16:00	0.053	49.63
450	2018.10.19 03:50	0.064	52.17
451	2018.10.19 04:35	0.104	61.40
452	2018.10.19 08:10	0.072	54.02
453	2018.10.19 14:20	0.103	61.17
454	2018.10.19 16:35	0.151	72.25
455	2018.10.19 21:45	0.046	48.02
456	2018.10.19 21:50	0.027	43.64
457	2018.10.22 08:55	0.036	45.71
458	2018.10.22 11:30	0.030	44.33
459	2018.10.22 12:00	0.073	54.25
460	2018.10.22 12:05	0.067	52.86
461	2018.10.22 17:45	0.078	55.40
462	2018.10.23 21:15	0.085	57.02
463	2018.10.23 21:20	0.071	53.79
464	2018.10.23 21:25	0.089	57.94
465	2018.10.23 21:30	0.087	57.48
466	2018.10.24 02:30	0.019	41.79
467	2018.10.24 06:05	0.040	46.64
468	2018.10.24 06:10	0.027	43.64
469	2018.10.24 07:50	0.034	45.25
470	2018.10.24 12:15	0.027	43.64
471	2018.10.25 12:50	0.044	47.56
472	2018.10.25 16:45	0.062	51.71
473	2018.10.25 16:50	0.033	45.02
474	2018.10.25 16:55	0.113	63.48
475	2018.10.25 18:20	0.061	51.48
476	2018.10.25 20:35	0.047	48.25
477	2018.10.25 20:40	0.025	43.17
478	2018.10.26 14:15	0.054	49.87
479	2018.10.26 14:20	0.037	45.94
480	2018.10.26 15:30	0.117	64.40
481	2018.10.26 15:35	0.066	52.63
482	2018.10.26 19:30	0.154	72.94
483	2018.10.26 19:35	0.098	60.02
484	2018.10.26 19:40	0.138	69.25
485	2018.10.26 23:35	0.073	54.25
486	2018.10.29 03:05	0.030	44.33
487	2018.10.29 03:25	0.035	45.48
488	2018.10.29 03:30	0.020	42.02
489	2018.10.29 07:35	0.055	50.10
490	2018.10.29 07:40	0.052	49.40
491	2018.10.29 12:15	0.068	53.10
492	2018.10.29 12:20	0.053	49.63
493	2018.10.29 12:25	0.093	58.86
494	2018.10.29 12:30	0.107	62.09
495	2018.10.29 14:25	0.118	64.63
496	2018.10.30 03:20	0.073	54.25
497	2018.10.30 03:35	0.070	53.56
498	2018.10.30 03:40	0.036	45.71
499	2018.10.30 05:35	0.039	46.40
500	2018.10.30 07:15	0.036	45.71
501	2018.10.30 07:20	0.043	47.33
502	2018.10.30 09:50	0.040	46.64
503	2018.10.30 10:10	0.081	56.09
504	2018.10.30 14:55	0.030	44.33
505	2018.10.31 03:45	0.108	62.32
506	2018.10.31 04:00	0.056	50.33
507	2018.10.31 08:10	0.041	46.87
