Pair=EURJPY;Period=M1;Days=25000;Shift=1;Bars=1500000;Time=20181208_073419
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local
11539;128.521;128.528;128.519;128.528;56.82681131265951;59.92753176324896;128.5349484614783;128.5251992307394;128.5154500000005;128.5057007692616;128.4959515385227;0.007000000000005002;0.00899999999998613;2018.11.27 23:01;2018.11.28 06:01;58
11540;128.525;128.528;128.517;128.521;54.69529131078301;59.43588381675955;128.5336744731735;128.523887236587;128.5141000000005;128.504312763414;128.4945255268275;-0.004000000000019099;0.01099999999999568;2018.11.27 23:00;2018.11.28 06:00;59
11541;128.512;128.526;128.511;128.526;56.59121057886744;58.73493396710553;128.5331987561809;128.5231493780907;128.5131000000005;128.5030506219103;128.4930012438201;0.01400000000001;0.01500000000001478;2018.11.27 22:59;2018.11.28 05:59;60
11542;128.51;128.524;128.508;128.512;52.18220013938074;59.16552868513281;128.5316921269026;128.5217710634516;128.5118500000005;128.5019289365494;128.4920078730984;0.00200000000000955;0.01599999999999113;2018.11.27 22:58;2018.11.28 05:58;61
11543;128.521;128.521;128.505;128.51;51.51384582469653;52.1394472625373;128.5329000000005;128.5218000000005;128.5107000000005;128.4996000000005;128.4885000000005;-0.01099999999999568;0.01599999999999113;2018.11.27 22:57;2018.11.28 05:57;62
11544;128.53;128.531;128.521;128.521;55.57231195400222;58.64471668958727;128.5333555312644;128.5216027656325;128.5098500000005;128.4980972343685;128.4863444687365;-0.009000000000014552;0.01000000000001933;2018.11.27 22:56;2018.11.28 05:56;63
11545;128.503;128.531;128.503;128.531;59.62954914483592;59.39862955734104;128.5330600381378;128.5206050190691;128.5081500000005;128.4956949809319;128.4832399618632;0.02800000000002001;0.02800000000002001;2018.11.27 22:55;2018.11.28 05:55;64
11546;128.501;128.513;128.5;128.505;50.74789936076665;53.40661913692278;128.5332630500836;128.519131525042;128.5050000000005;128.4908684749589;128.4767369499174;0.003999999999990678;0.01300000000000523;2018.11.27 22:54;2018.11.28 05:54;65
11547;128.516;128.517;128.498;128.505;50.74789936076665;58.52895477182581;128.5356908973452;128.5194204486728;128.5031500000005;128.4868795513281;128.4706091026557;-0.01099999999999568;0.01900000000000546;2018.11.27 22:53;2018.11.28 05:53;66
11548;128.528;128.528;128.513;128.517;55.86760779824517;62.6143503939428;128.5369775209933;128.5191887604969;128.5014000000004;128.483611239504;128.4658224790076;-0.01099999999999568;0.01499999999998636;2018.11.27 22:52;2018.11.28 05:52;67
11549;128.529;128.532;128.523;128.526;60.19442232072684;60.58195094611119;128.5382512531136;128.518300626557;128.4983500000005;128.4783993734439;128.4584487468873;-0.002999999999985903;0.009000000000014552;2018.11.27 22:51;2018.11.28 05:51;68
11550;128.528;128.532;128.519;128.529;61.70781176214376;54.8384079421043;128.5348748003194;128.51531240016;128.4957500000005;128.476187599841;128.4566251996815;0.001000000000004775;0.01300000000000523;2018.11.27 22:50;2018.11.28 05:50;69
11551;128.509;128.53;128.506;128.528;61.40050050253286;48.32518348130618;128.5298662532222;128.5115581266114;128.4932500000005;128.4749418733896;128.4566337467787;0.01900000000000546;0.02400000000000091;2018.11.27 22:49;2018.11.28 05:49;70
11552;128.508;128.511;128.504;128.511;55.65260402176642;43.84275401703315;128.5242793875024;128.5077896937514;128.4913000000005;128.4748103062495;128.4583206124986;0.002999999999985903;0.007000000000005002;2018.11.27 22:48;2018.11.28 05:48;71
11553;128.509;128.514;128.506;128.509;54.90203806946733;49.36234495136899;128.5226443265703;128.5066721632854;128.4907000000005;128.4747278367155;128.4587556734306;0.0;0.008000000000009777;2018.11.27 22:47;2018.11.28 05:47;72
11554;128.511;128.512;128.505;128.508;54.53654700532282;44.64568021853317;128.5205712588975;128.505160629449;128.4897500000005;128.4743393705519;128.4589287411034;-0.002999999999985903;0.007000000000005002;2018.11.27 22:46;2018.11.28 05:46;73
11555;128.511;128.511;128.506;128.51;55.38945171967478;43.8198338814279;128.5183079114047;128.5034539557026;128.4886000000005;128.4737460442984;128.4588920885963;-0.001000000000004775;0.004999999999995453;2018.11.27 22:45;2018.11.28 05:45;74
11556;128.5;128.512;128.496;128.511;55.80399682619146;43.96110364185685;128.5175780739602;128.5029890369804;128.4884000000005;128.4738109630206;128.4592219260407;0.01099999999999568;0.01599999999999113;2018.11.27 22:44;2018.11.28 05:44;75
11557;128.501;128.504;128.496;128.501;52.42115051046626;39.88393301160923;128.5145254468346;128.5008877234175;128.4872500000005;128.4736122765834;128.4599745531663;0.0;0.007999999999981355;2018.11.27 22:43;2018.11.28 05:43;76
