[20190503_001757 / libfx_2.py:6507]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190503_001459).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300
lenOf_LO_BDs	1000

------------------------------
s.n.	BD.start	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.anchor	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.end(curr)	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	
30	2019.04.12 11:00	225	79.700	79.904	79.818	79.769	79.719	79.670	79.620	2019.04.12 16:00	245	80.424	80.458	80.505	80.365	80.226	80.086	79.946	2019.04.15 04:00	293	80.262	80.214	80.414	80.375	80.336	80.297	80.258
31	2019.04.15 04:15	294	80.215	80.288	80.415	80.375	80.335	80.295	80.255	2019.04.15 05:45	300	80.387	80.409	80.432	80.387	80.342	80.297	80.252	2019.04.15 06:15	302	80.357	80.298	80.428	80.383	80.338	80.293	80.248
32	2019.04.15 06:45	304	80.285	80.300	80.427	80.380	80.333	80.286	80.239	2019.04.15 07:00	305	80.303	80.317	80.425	80.378	80.331	80.284	80.238	2019.04.15 07:30	307	80.315	80.271	80.415	80.369	80.323	80.277	80.231
33	2019.04.15 08:00	309	80.252	80.294	80.409	80.362	80.315	80.268	80.221	2019.04.15 08:00	309	80.252	80.294	80.409	80.362	80.315	80.268	80.221	2019.04.15 08:15	310	80.295	80.264	80.404	80.357	80.310	80.263	80.216
34	2019.04.15 09:00	313	80.206	80.232	80.407	80.356	80.305	80.254	80.203	2019.04.15 09:15	314	80.230	80.274	80.407	80.355	80.304	80.253	80.202	2019.04.15 09:30	315	80.274	80.212	80.407	80.353	80.298	80.244	80.189
35	2019.04.15 09:45	316	80.208	80.209	80.409	80.351	80.293	80.236	80.178	2019.04.15 10:15	318	80.230	80.315	80.394	80.339	80.284	80.230	80.175	2019.04.15 10:30	319	80.317	80.276	80.378	80.329	80.279	80.229	80.180
36	2019.04.15 11:30	323	80.239	80.293	80.333	80.298	80.263	80.229	80.194	2019.04.15 11:30	323	80.239	80.293	80.333	80.298	80.263	80.229	80.194	2019.04.15 11:45	324	80.293	80.258	80.329	80.295	80.261	80.227	80.194
37	2019.04.15 12:00	325	80.259	80.285	80.323	80.291	80.260	80.228	80.196	2019.04.15 12:45	328	80.323	80.342	80.339	80.302	80.265	80.228	80.191	2019.04.15 13:15	330	80.328	80.293	80.347	80.307	80.268	80.229	80.189
38	2019.04.15 13:30	331	80.294	80.304	80.350	80.310	80.270	80.230	80.190	2019.04.15 13:30	331	80.294	80.304	80.350	80.310	80.270	80.230	80.190	2019.04.15 13:45	332	80.303	80.293	80.349	80.312	80.275	80.237	80.200
39	2019.04.15 14:15	334	80.290	80.348	80.360	80.320	80.281	80.242	80.202	2019.04.15 14:15	334	80.290	80.348	80.360	80.320	80.281	80.242	80.202	2019.04.15 14:30	335	80.348	80.326	80.361	80.324	80.287	80.250	80.212
