[20190427_174404 / views.py:15864]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	(20190427_174402).(AUDJPY-M15).[sec-1.A-6.3-seq-list].(20190427_174404).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.04.24 12:30
bars	21114

[20190427_174404 / views.py:15939]
[lo_UUU : 2595]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
118	2018.06.28 17:00	2018.06.28 17:15	2018.06.28 17:30	0.038	0.042	0.004
119	2018.06.28 17:15	2018.06.28 17:30	2018.06.28 17:45	0.042	0.004	0.033
120	2018.06.28 19:45	2018.06.28 20:00	2018.06.28 20:15	0.017	0.011	0.032
121	2018.06.28 20:00	2018.06.28 20:15	2018.06.28 20:30	0.011	0.032	0.008
122	2018.06.28 20:15	2018.06.28 20:30	2018.06.28 20:45	0.032	0.008	0.037
123	2018.06.29 05:00	2018.06.29 05:15	2018.06.29 05:30	0.005	0.053	0.302
124	2018.06.29 05:15	2018.06.29 05:30	2018.06.29 05:45	0.053	0.302	0.256
125	2018.06.29 06:45	2018.06.29 07:00	2018.06.29 07:15	0.073	0.073	0.030
126	2018.06.29 11:00	2018.06.29 11:15	2018.06.29 11:30	0.055	0.008	0.145
127	2018.06.29 14:00	2018.06.29 14:15	2018.06.29 14:30	0.078	0.024	0.013
128	2018.06.29 14:15	2018.06.29 14:30	2018.06.29 14:45	0.024	0.013	0.035
129	2018.06.29 14:30	2018.06.29 14:45	2018.06.29 15:00	0.013	0.035	0.047
130	2018.06.29 16:00	2018.06.29 16:15	2018.06.29 16:30	0.090	0.054	0.025
131	2018.06.29 20:00	2018.06.29 20:15	2018.06.29 20:30	0.031	0.012	0.002
132	2018.06.29 23:45	2018.07.02 00:00	2018.07.02 00:15	0.013	0.016	0.025
133	2018.07.02 00:00	2018.07.02 00:15	2018.07.02 00:30	0.016	0.025	0.024
134	2018.07.02 01:00	2018.07.02 01:15	2018.07.02 01:30	0.008	0.009	0.078
135	2018.07.02 20:00	2018.07.02 20:15	2018.07.02 20:30	0.003	0.008	0.087
136	2018.07.02 20:15	2018.07.02 20:30	2018.07.02 20:45	0.008	0.087	0.020
137	2018.07.02 20:30	2018.07.02 20:45	2018.07.02 21:00	0.087	0.020	0.025
138	2018.07.02 20:45	2018.07.02 21:00	2018.07.02 21:15	0.020	0.025	0.020
139	2018.07.02 21:45	2018.07.02 22:00	2018.07.02 22:15	0.000	0.010	0.050
140	2018.07.02 22:00	2018.07.02 22:15	2018.07.02 22:30	0.010	0.050	0.012
141	2018.07.02 22:15	2018.07.02 22:30	2018.07.02 22:45	0.050	0.012	0.009
142	2018.07.02 22:30	2018.07.02 22:45	2018.07.02 23:00	0.012	0.009	0.083
143	2018.07.02 23:30	2018.07.02 23:45	2018.07.03 00:00	0.033	0.020	0.004
144	2018.07.03 00:45	2018.07.03 01:00	2018.07.03 01:15	0.010	0.009	0.028
145	2018.07.03 02:30	2018.07.03 02:45	2018.07.03 03:00	0.011	0.021	0.027
146	2018.07.03 04:45	2018.07.03 05:00	2018.07.03 05:15	0.153	0.048	0.142
147	2018.07.03 07:45	2018.07.03 08:00	2018.07.03 08:15	0.021	0.041	0.097
148	2018.07.03 08:00	2018.07.03 08:15	2018.07.03 08:30	0.041	0.097	0.158
149	2018.07.03 08:15	2018.07.03 08:30	2018.07.03 08:45	0.097	0.158	0.015
150	2018.07.03 08:30	2018.07.03 08:45	2018.07.03 09:00	0.158	0.015	0.091
151	2018.07.03 08:45	2018.07.03 09:00	2018.07.03 09:15	0.015	0.091	0.070
152	2018.07.03 09:00	2018.07.03 09:15	2018.07.03 09:30	0.091	0.070	0.022
153	2018.07.03 09:15	2018.07.03 09:30	2018.07.03 09:45	0.070	0.022	0.089
154	2018.07.03 11:30	2018.07.03 11:45	2018.07.03 12:00	0.049	0.022	0.000
155	2018.07.03 14:00	2018.07.03 14:15	2018.07.03 14:30	0.000	0.021	0.030
156	2018.07.03 14:15	2018.07.03 14:30	2018.07.03 14:45	0.021	0.030	0.066
157	2018.07.03 20:00	2018.07.03 20:15	2018.07.03 20:30	0.062	0.028	0.016
158	2018.07.03 21:00	2018.07.03 21:15	2018.07.03 21:30	0.034	0.006	0.030
159	2018.07.03 22:15	2018.07.03 22:30	2018.07.03 22:45	0.011	0.015	0.024
160	2018.07.04 04:00	2018.07.04 04:15	2018.07.04 04:30	0.027	0.007	0.248
161	2018.07.04 06:30	2018.07.04 06:45	2018.07.04 07:00	0.005	0.003	0.039
162	2018.07.04 06:45	2018.07.04 07:00	2018.07.04 07:15	0.003	0.039	0.002
163	2018.07.04 07:45	2018.07.04 08:00	2018.07.04 08:15	0.029	0.038	0.000
164	2018.07.04 13:00	2018.07.04 13:15	2018.07.04 13:30	0.017	0.054	0.003
165	2018.07.04 13:15	2018.07.04 13:30	2018.07.04 13:45	0.054	0.003	0.019
166	2018.07.04 17:45	2018.07.04 18:00	2018.07.04 18:15	0.014	0.006	0.039
167	2018.07.04 21:15	2018.07.04 21:30	2018.07.04 21:45	0.007	0.009	0.004
168	2018.07.04 22:30	2018.07.04 22:45	2018.07.04 23:00	0.001	0.009	0.017
169	2018.07.04 22:45	2018.07.04 23:00	2018.07.04 23:15	0.009	0.017	0.010
170	2018.07.05 04:30	2018.07.05 04:45	2018.07.05 05:00	0.085	0.007	0.023
171	2018.07.05 08:15	2018.07.05 08:30	2018.07.05 08:45	0.100	0.129	0.133
172	2018.07.05 13:30	2018.07.05 13:45	2018.07.05 14:00	0.066	0.024	0.042
173	2018.07.05 13:45	2018.07.05 14:00	2018.07.05 14:15	0.024	0.042	0.031
174	2018.07.05 14:00	2018.07.05 14:15	2018.07.05 14:30	0.042	0.031	0.007
175	2018.07.05 14:15	2018.07.05 14:30	2018.07.05 14:45	0.031	0.007	0.054
176	2018.07.05 21:45	2018.07.05 22:00	2018.07.05 22:15	0.038	0.015	0.018
177	2018.07.05 22:00	2018.07.05 22:15	2018.07.05 22:30	0.015	0.018	0.030
178	2018.07.05 22:15	2018.07.05 22:30	2018.07.05 22:45	0.018	0.030	0.018
179	2018.07.05 23:30	2018.07.05 23:45	2018.07.06 00:00	0.015	0.022	0.044
180	2018.07.05 23:45	2018.07.06 00:00	2018.07.06 00:15	0.022	0.044	0.020
181	2018.07.06 06:45	2018.07.06 07:00	2018.07.06 07:15	0.047	0.095	0.031
182	2018.07.06 07:00	2018.07.06 07:15	2018.07.06 07:30	0.095	0.031	0.056
183	2018.07.06 10:45	2018.07.06 11:00	2018.07.06 11:15	0.047	0.003	0.047
184	2018.07.06 11:00	2018.07.06 11:15	2018.07.06 11:30	0.003	0.047	0.040
185	2018.07.06 11:15	2018.07.06 11:30	2018.07.06 11:45	0.047	0.040	0.020
186	2018.07.06 11:30	2018.07.06 11:45	2018.07.06 12:00	0.040	0.020	0.024
187	2018.07.06 14:00	2018.07.06 14:15	2018.07.06 14:30	0.002	0.005	0.003
188	2018.07.06 14:15	2018.07.06 14:30	2018.07.06 14:45	0.005	0.003	0.010
189	2018.07.06 14:30	2018.07.06 14:45	2018.07.06 15:00	0.003	0.010	0.001
190	2018.07.06 14:45	2018.07.06 15:00	2018.07.06 15:15	0.010	0.001	0.015
191	2018.07.06 15:00	2018.07.06 15:15	2018.07.06 15:30	0.001	0.015	0.139
192	2018.07.06 19:45	2018.07.06 20:00	2018.07.06 20:15	0.003	0.020	0.018
193	2018.07.06 23:30	2018.07.06 23:45	2018.07.09 00:00	0.001	0.019	0.053
194	2018.07.09 02:30	2018.07.09 02:45	2018.07.09 03:00	0.024	0.059	0.063
195	2018.07.09 02:45	2018.07.09 03:00	2018.07.09 03:15	0.059	0.063	0.012
196	2018.07.09 03:00	2018.07.09 03:15	2018.07.09 03:30	0.063	0.012	0.017
197	2018.07.09 04:30	2018.07.09 04:45	2018.07.09 05:00	0.139	0.047	0.014
198	2018.07.09 04:45	2018.07.09 05:00	2018.07.09 05:15	0.047	0.014	0.006
199	2018.07.09 05:00	2018.07.09 05:15	2018.07.09 05:30	0.014	0.006	0.003
200	2018.07.09 08:15	2018.07.09 08:30	2018.07.09 08:45	0.025	0.032	0.012
201	2018.07.09 08:30	2018.07.09 08:45	2018.07.09 09:00	0.032	0.012	0.108
202	2018.07.09 10:30	2018.07.09 10:45	2018.07.09 11:00	0.010	0.003	0.042
203	2018.07.09 10:45	2018.07.09 11:00	2018.07.09 11:15	0.003	0.042	0.068
204	2018.07.09 14:30	2018.07.09 14:45	2018.07.09 15:00	0.021	0.046	0.026
