[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
158	2019.02.04 06:00	2019.02.04 06:15	125.506	125.530	125.519
159	2019.02.04 06:15	2019.02.04 06:30	125.530	125.568	125.523
160	2019.02.04 06:30	2019.02.04 06:45	125.568	125.594	125.529
161	2019.02.04 06:45	2019.02.04 07:00	125.594	125.616	125.534
162	2019.02.04 07:45	2019.02.04 08:00	125.587	125.596	125.572
163	2019.02.04 08:30	2019.02.04 08:45	125.620	125.627	125.593
164	2019.02.04 09:30	2019.02.04 09:45	125.653	125.674	125.622
165	2019.02.04 09:45	2019.02.04 10:00	125.674	125.748	125.633
166	2019.02.04 10:00	2019.02.04 10:15	125.748	125.752	125.654
167	2019.02.04 10:15	2019.02.04 10:30	125.752	125.790	125.671
168	2019.02.04 12:15	2019.02.04 12:30	125.748	125.786	125.773
169	2019.02.04 13:30	2019.02.04 13:45	125.818	125.820	125.805
170	2019.02.04 13:45	2019.02.04 14:00	125.820	125.827	125.811
171	2019.02.04 15:15	2019.02.04 15:30	125.842	125.881	125.814
172	2019.02.04 15:30	2019.02.04 15:45	125.881	125.931	125.826
173	2019.02.04 21:30	2019.02.04 21:45	125.613	125.652	125.784
174	2019.02.04 22:15	2019.02.04 22:30	125.665	125.678	125.741
175	2019.02.04 22:30	2019.02.04 22:45	125.678	125.702	125.730
176	2019.02.04 22:45	2019.02.04 23:00	125.702	125.712	125.724
177	2019.02.01 00:30	2019.02.01 00:45	124.566	124.574	124.631
178	2019.02.01 00:45	2019.02.01 01:00	124.574	124.584	124.630
179	2019.02.01 01:00	2019.02.01 01:15	124.584	124.595	124.629
