[20190228_133812 / views.py:10085]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_133811.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190228_133812 / views.py:10255]
12	2019.02.04 10:15	2019.02.04 10:30
13	2019.02.04 12:15	2019.02.04 12:30
14	2019.02.04 13:30	2019.02.04 13:45
15	2019.02.04 13:45	2019.02.04 14:00
16	2019.02.04 15:15	2019.02.04 15:30
17	2019.02.04 15:30	2019.02.04 15:45
18	2019.02.04 21:30	2019.02.04 21:45
19	2019.02.04 22:15	2019.02.04 22:30
20	2019.02.04 22:30	2019.02.04 22:45
21	2019.02.04 22:45	2019.02.04 23:00
0	2019.02.01 00:30	2019.02.01 00:45
1	2019.02.01 00:45	2019.02.01 01:00
2	2019.02.01 01:00	2019.02.01 01:15
3	2019.02.01 01:15	2019.02.01 01:30
4	2019.02.01 01:30	2019.02.01 01:45
5	2019.02.01 01:45	2019.02.01 02:00
6	2019.02.01 03:45	2019.02.01 04:00
7	2019.02.01 04:00	2019.02.01 04:15
8	2019.02.01 04:15	2019.02.01 04:30
9	2019.02.01 04:30	2019.02.01 04:45
10	2019.02.01 04:45	2019.02.01 05:00
11	2019.02.01 05:00	2019.02.01 05:15
12	2019.02.01 08:15	2019.02.01 08:30
13	2019.02.01 08:30	2019.02.01 08:45
14	2019.02.01 08:45	2019.02.01 09:00
15	2019.02.01 09:00	2019.02.01 09:15
16	2019.02.01 09:15	2019.02.01 09:30
17	2019.02.01 09:30	2019.02.01 09:45
18	2019.02.01 09:45	2019.02.01 10:00
19	2019.02.01 11:45	2019.02.01 12:00
20	2019.02.01 13:00	2019.02.01 13:15
21	2019.02.01 14:15	2019.02.01 14:30
22	2019.02.01 15:00	2019.02.01 15:15
23	2019.02.01 15:15	2019.02.01 15:30
24	2019.02.01 15:30	2019.02.01 15:45
25	2019.02.01 15:45	2019.02.01 16:00
26	2019.02.01 16:30	2019.02.01 16:45
27	2019.02.01 16:45	2019.02.01 17:00
28	2019.02.01 17:00	2019.02.01 17:15
29	2019.02.01 17:45	2019.02.01 18:00
30	2019.02.01 18:00	2019.02.01 18:15
0	2019.01.31 00:00	2019.01.31 00:15
1	2019.01.31 02:45	2019.01.31 03:00
2	2019.01.31 04:30	2019.01.31 04:45
3	2019.01.31 05:15	2019.01.31 05:30
4	2019.01.31 08:15	2019.01.31 08:30
5	2019.01.31 08:30	2019.01.31 08:45
6	2019.01.31 10:00	2019.01.31 10:15
7	2019.01.31 12:45	2019.01.31 13:00
8	2019.01.31 13:00	2019.01.31 13:15
9	2019.01.31 13:15	2019.01.31 13:30
10	2019.01.31 13:30	2019.01.31 13:45
11	2019.01.31 14:15	2019.01.31 14:30
12	2019.01.31 14:30	2019.01.31 14:45
13	2019.01.31 15:30	2019.01.31 15:45
14	2019.01.31 16:30	2019.01.31 16:45
15	2019.01.31 16:45	2019.01.31 17:00
