[20190209_144139 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143838.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143838
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
83	10808	674	2019.01.23 11:16	675	2019.01.23 11:17	124.584	124.559	-0.025	1
84	10806	676	2019.01.23 11:18	677	2019.01.23 11:19	124.585	124.540	-0.045	1
85	10794	681	2019.01.23 11:23	689	2019.01.23 11:31	124.552	124.525	-0.027	8
86	10788	694	2019.01.23 11:36	695	2019.01.23 11:37	124.540	124.518	-0.022	1
87	10776	701	2019.01.23 11:43	707	2019.01.23 11:49	124.584	124.556	-0.028	6
88	10771	711	2019.01.23 11:53	712	2019.01.23 11:54	124.559	124.533	-0.026	1
89	10769	713	2019.01.23 11:55	714	2019.01.23 11:56	124.568	124.521	-0.047	1
90	10765	715	2019.01.23 11:57	718	2019.01.23 12:00	124.549	124.517	-0.032	3
91	10759	719	2019.01.23 12:01	724	2019.01.23 12:06	124.551	124.528	-0.023	5
92	10753	726	2019.01.23 12:08	730	2019.01.23 12:12	124.548	124.527	-0.021	4
93	10738	744	2019.01.23 12:26	745	2019.01.23 12:27	124.576	124.554	-0.022	1
94	10735	747	2019.01.23 12:29	748	2019.01.23 12:30	124.566	124.528	-0.038	1
95	10732	750	2019.01.23 12:32	751	2019.01.23 12:33	124.561	124.525	-0.036	1
96	10728	754	2019.01.23 12:36	755	2019.01.23 12:37	124.534	124.510	-0.024	1
97	10726	756	2019.01.23 12:38	757	2019.01.23 12:39	124.539	124.516	-0.023	1
98	10724	758	2019.01.23 12:40	759	2019.01.23 12:41	124.542	124.520	-0.022	1
99	10714	766	2019.01.23 12:48	769	2019.01.23 12:51	124.571	124.548	-0.023	3
100	10712	770	2019.01.23 12:52	771	2019.01.23 12:53	124.572	124.529	-0.043	1
