[20181001_122640 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-08.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.20181001_122640.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
93	86	552
0.168	0.156	1.000

[20181001_122640 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.08.23 04:00	128.1040	128.1350	0.0310
2018.08.23 08:00	128.2030	128.2010	-0.0020
2018.08.23 11:00	128.2030	128.1170	-0.0860
2018.08.23 14:00	128.1120	128.0470	-0.0650
2018.08.24 04:00	128.5670	128.3890	-0.1780
2018.08.24 18:00	128.8320	128.8520	0.0200
2018.08.25 04:00	129.2880	129.2810	-0.0070
2018.08.25 06:00	129.2830	129.2940	0.0110
2018.08.27 17:00	129.4230	128.9320	-0.4910
2018.08.28 08:00	129.7250	129.7390	0.0140
2018.08.28 16:00	129.9550	129.9410	-0.0140
2018.08.28 18:00	129.9410	129.8800	-0.0610
2018.08.29 02:00	130.1900	130.1590	-0.0310
2018.08.29 06:00	130.1580	130.0240	-0.1340
2018.08.29 08:00	130.0300	130.0140	-0.0160
2018.08.29 10:00	130.0140	129.9980	-0.0160
2018.08.29 16:00	130.0890	129.8000	-0.2890
2018.08.29 18:00	129.8000	129.7380	-0.0620
2018.08.30 14:00	130.7850	130.6310	-0.1540
2018.08.30 16:00	130.6280	130.7110	0.0830
2018.08.30 19:00	130.6950	130.5000	-0.1950
2018.08.31 02:00	130.2220	129.6660	-0.5560
2018.08.31 19:00	129.5730	129.3150	-0.2580

