Pair=USDJPY;Period=M15;Days=9000;Shift=1;Bars=9000;Time=20181208_065354
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
2440;112.827;112.844;112.802;112.839;49.47474786860554;39.66117028623985;113.101151341712;113.0047256708561;112.9083000000003;112.8118743291444;112.7154486582886;0.01200000000000045;0.04199999999998738;2018.11.02 13:30;2018.11.02 20:30;42
2441;112.791;112.839;112.784;112.826;48.5054346338389;35.02491736752309;113.1113721346267;113.0140360673135;112.9167000000003;112.8193639326871;112.7220278653739;0.03499999999999659;0.05499999999999261;2018.11.02 13:15;2018.11.02 20:15;43
2442;112.761;112.811;112.74;112.791;45.84828400888443;36.40243395426057;113.1239760785969;113.0256130392986;112.9272500000003;112.828886960702;112.7305239214036;0.03000000000000114;0.07100000000001216;2018.11.02 13:00;2018.11.02 20:00;44
2443;112.72;112.768;112.719;112.762;43.55568256624261;39.97205384602082;113.1324470332155;113.0361735166079;112.9399000000002;112.8436264833926;112.747352966785;0.04200000000000159;0.04900000000000659;2018.11.02 12:45;2018.11.02 19:45;45
2444;112.768;112.8;112.718;112.719;39.97608048360987;43.91553383707093;113.1237931191306;113.0365965595654;112.9494000000002;112.8622034404351;112.7750068808699;-0.04900000000000659;0.08199999999999363;2018.11.02 12:30;2018.11.02 19:30;46
2445;112.845;112.859;112.745;112.768;42.92290929105323;47.03105734807749;113.1212728816832;113.0356364408417;112.9500000000002;112.8643635591587;112.7787271183172;-0.07699999999999818;0.1139999999999901;2018.11.02 12:15;2018.11.02 19:15;47
2446;112.881;112.884;112.84;112.846;48.30803988972821;50.68170871417136;113.1322282654635;113.0396391327319;112.9470500000002;112.8544608672686;112.7618717345369;-0.03499999999999659;0.04399999999999693;2018.11.02 12:00;2018.11.02 19:00;48
2447;112.902;112.915;112.881;112.883;51.20293386554304;54.25665253718854;113.1509866426044;113.0452433213023;112.9395000000002;112.8337566786981;112.728013357396;-0.01900000000000546;0.03400000000000603;2018.11.02 11:45;2018.11.02 18:45;49
2448;112.918;112.922;112.873;112.902;52.74487939465808;54.88406221698305;113.1660888980442;113.0480944490222;112.9301000000002;112.8121055509783;112.6941111019563;-0.01600000000000534;0.04899999999999238;2018.11.02 11:30;2018.11.02 18:30;50
2449;112.93;112.931;112.876;112.919;54.13046993274529;56.41540573831314;113.1757470645626;113.0479985322814;112.9202500000002;112.792501467719;112.6647529354378;-0.01100000000000989;0.05499999999999261;2018.11.02 11:15;2018.11.02 18:15;51
