Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
275;126.068;126.291;125.929;126.195;56.3315485836;34.6501134251;126.2281650031;125.9209325015;125.6137;125.3064674985;124.9992349969;0.127;0.362;2018.08.16 06:00;2018.08.16 13:00;42
276;125.944;126.217;125.934;126.067;54.2725749809;35.3535135373;126.2204092606;125.9162296303;125.61205;125.3078703697;125.0036907394;0.123;0.283;2018.08.16 05:00;2018.08.16 12:00;43
277;125.43;126.12;125.294;125.945;52.2332710524;34.5446953179;126.2313681766;125.9230340883;125.6147;125.3063659117;124.9980318234;0.515;0.826;2018.08.16 04:00;2018.08.16 11:00;44
278;125.409;125.488;125.281;125.43;41.8298435503;32.9510774272;126.252834897;125.9368424485;125.62085;125.3048575515;124.988865103;0.021;0.207;2018.08.16 03:00;2018.08.16 10:00;45
279;125.51;125.534;125.378;125.41;41.3586478807;33.2887961566;126.3028267384;125.9771883692;125.65155;125.3259116308;125.0002732616;-0.1;0.156;2018.08.16 02:00;2018.08.16 09:00;46
280;125.571;125.607;125.501;125.511;43.0308788338;32.4744411611;126.3365595646;126.0083297823;125.6801;125.3518702177;125.0236404354;-0.06;0.106;2018.08.16 01:00;2018.08.16 08:00;47
281;125.615;125.68;125.547;125.569;44.0014494379;31.6381182932;126.3844260658;126.0468130329;125.7092;125.3715869671;125.0339739342;-0.046;0.133;2018.08.16 00:00;2018.08.16 07:00;48
282;125.556;125.721;125.549;125.636;45.1182340596;36.945360762;126.4668721093;126.1066110547;125.74635;125.3860889453;125.0258278907;0.08;0.172;2018.08.15 23:00;2018.08.16 06:00;49
283;125.466;125.655;125.464;125.557;43.5122827997;38.241428298;126.528188288;126.152669144;125.77715;125.401630856;125.026111712;0.091;0.191;2018.08.15 22:00;2018.08.16 05:00;50
284;125.462;125.489;125.367;125.465;41.6224000514;37.3884742778;126.580266348;126.195658174;125.81105;125.426441826;125.041833652;0.003;0.122;2018.08.15 21:00;2018.08.16 04:00;51
285;125.604;125.71;125.438;125.462;41.561833276;40.9479806869;126.6150950013;126.2309975006;125.8469;125.4628024994;125.0787049987;-0.142;0.272;2018.08.15 20:00;2018.08.16 03:00;52
286;125.359;125.677;125.333;125.603;43.5806816291;45.4127132218;126.6423702841;126.262510142;125.88265;125.502789858;125.1229297159;0.244;0.344;2018.08.15 19:00;2018.08.16 02:00;53
287;124.926;125.506;124.922;125.359;38.6843030405;41.9839497688;126.6598153935;126.2832326968;125.90665;125.5300673032;125.1534846065;0.433;0.584;2018.08.15 18:00;2018.08.16 01:00;54
288;125.182;125.285;124.899;124.926;28.1758347584;38.4662364363;126.6649841135;126.3061920568;125.9474;125.5886079432;125.2298158865;-0.256;0.386;2018.08.15 17:00;2018.08.16 00:00;55
289;125.461;125.508;125.151;125.182;31.1769070036;40.5119932915;126.5517275713;126.2790637856;126.0064;125.7337362144;125.4610724287;-0.279;0.357;2018.08.15 16:00;2018.08.15 23:00;56
290;125.675;125.777;125.443;125.46;35.0256040689;47.0328832038;126.4577960961;126.257998048;126.0582;125.858401952;125.6586039039;-0.215;0.334;2018.08.15 15:00;2018.08.15 22:00;57
291;125.811;125.811;125.514;125.678;38.5729078686;47.6526335189;126.3783081912;126.2315790956;126.08485;125.9381209044;125.7913918088;-0.133;0.297;2018.08.15 14:00;2018.08.15 21:00;58
292;125.964;126.06;125.679;125.812;40.9975198379;47.4964894634;126.3380900754;126.2173700377;126.09665;125.9759299623;125.8552099246;-0.152;0.381;2018.08.15 13:00;2018.08.15 20:00;59
293;126.039;126.111;125.918;125.966;44.0184011048;47.2768688502;126.3142581239;126.212704062;126.11115;126.009595938;125.9080418761;-0.073;0.193;2018.08.15 12:00;2018.08.15 19:00;60
294;126.163;126.186;125.892;126.041;45.5719977933;46.7315322337;126.3106787117;126.2147393558;126.1188;126.0228606442;125.9269212883;-0.122;0.294;2018.08.15 11:00;2018.08.15 18:00;61
295;126.119;126.307;126.116;126.162;48.1781631888;47.0477430759;126.3376636071;126.2349568036;126.13225;126.0295431964;125.9268363929;0.043;0.191;2018.08.15 10:00;2018.08.15 17:00;62
296;126.068;126.215;126.008;126.12;47.1821334942;41.267957149;126.3973773167;126.2722636583;126.14715;126.0220363417;125.8969226833;0.052;0.207;2018.08.15 09:00;2018.08.15 16:00;63
