[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
93	2018.10.25 00:00	2018.10.25 23:00	24	7	8	7	1	0.292	0.333	0.292	0.042
94	2018.10.24 00:00	2018.10.24 23:00	24	3	6	7	6	0.125	0.250	0.292	0.250
95	2018.10.23 00:00	2018.10.23 23:00	24	2	5	5	11	0.083	0.208	0.208	0.458
96	2018.10.22 00:00	2018.10.22 23:00	24	4	5	5	9	0.167	0.208	0.208	0.375
97	2018.10.19 00:00	2018.10.19 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
98	2018.10.18 00:00	2018.10.18 23:00	24	1	5	5	12	0.042	0.208	0.208	0.500
99	2018.10.17 00:00	2018.10.17 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
100	2018.10.16 00:00	2018.10.16 23:00	24	9	5	4	5	0.375	0.208	0.167	0.208
101	2018.10.15 00:00	2018.10.15 23:00	24	3	7	6	7	0.125	0.292	0.250	0.292
102	2018.10.12 00:00	2018.10.12 23:00	24	4	7	6	4	0.167	0.292	0.250	0.167
103	2018.10.11 00:00	2018.10.11 23:00	24	9	6	6	2	0.375	0.250	0.250	0.083
104	2018.10.10 00:00	2018.10.10 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
105	2018.10.09 00:00	2018.10.09 23:00	24	3	8	7	5	0.125	0.333	0.292	0.208
106	2018.10.08 00:00	2018.10.08 23:00	24	3	4	5	11	0.125	0.167	0.208	0.458
107	2018.10.05 00:00	2018.10.05 23:00	24	7	5	5	6	0.292	0.208	0.208	0.250
108	2018.10.04 00:00	2018.10.04 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
109	2018.10.03 00:00	2018.10.03 23:00	24	6	5	4	8	0.250	0.208	0.167	0.333
110	2018.10.02 00:00	2018.10.02 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
111	2018.10.01 00:00	2018.10.01 23:00	24	7	4	5	6	0.292	0.167	0.208	0.250
112	2018.09.28 00:00	2018.09.28 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
113	2018.09.27 00:00	2018.09.27 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
114	2018.09.26 00:00	2018.09.26 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
115	2018.09.25 00:00	2018.09.25 23:00	24	12	5	5	1	0.500	0.208	0.208	0.042
116	2018.09.24 00:00	2018.09.24 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
117	2018.09.21 00:00	2018.09.21 23:00	24	3	8	9	3	0.125	0.333	0.375	0.125
118	2018.09.20 00:00	2018.09.20 23:00	24	11	5	5	2	0.458	0.208	0.208	0.083
119	2018.09.19 00:00	2018.09.19 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
