[20190325_081019 / views.py:12006]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190325_080819).20190318_085834.csv
slice by	through
this file	(20190325_081017).(USDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	H1
start	2017.08.10 01:00
end	2019.03.25 02:00
total bars	10000

[20190325_081019 / views.py:12024]
[20190325_081018 / views.py:11753]==============================
average	0.195
max	0.610
min	0.006
variance	0.0142514
std	0.11938
median	0.173

[20190325_081018 / views.py:11775]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
239	2018.11.07 23:00	0.006	34.14
240	2018.11.08 17:00	0.195	49.97
241	2018.11.08 18:00	0.159	46.96
242	2018.11.08 23:00	0.051	37.91
243	2018.11.12 03:00	0.075	39.92
244	2018.11.12 04:00	0.030	36.15
245	2018.11.12 07:00	0.188	49.39
246	2018.11.13 09:00	0.154	46.54
247	2018.11.26 02:00	0.308	59.44
248	2018.11.26 03:00	0.259	55.33
249	2018.11.27 17:00	0.137	45.11
250	2018.11.28 16:00	0.182	48.88
251	2018.11.30 19:00	0.107	42.60
252	2018.12.03 00:00	0.131	44.61
253	2018.12.10 19:00	0.214	51.56
254	2018.12.11 17:00	0.140	45.37
255	2018.12.13 17:00	0.116	43.35
256	2018.12.26 19:00	0.521	77.28
257	2018.12.26 20:00	0.403	67.40
258	2019.01.04 04:00	0.490	74.68
259	2019.01.04 05:00	0.222	52.23
260	2019.01.11 20:00	0.087	40.93
261	2019.01.11 21:00	0.075	39.92
262	2019.01.11 22:00	0.056	38.33
263	2019.01.15 02:00	0.171	47.96
264	2019.01.15 03:00	0.133	44.78
265	2019.01.15 04:00	0.146	45.87
266	2019.01.15 05:00	0.091	41.26
267	2019.01.15 06:00	0.162	47.21
268	2019.01.16 12:00	0.218	51.90
269	2019.01.16 13:00	0.076	40.00
270	2019.01.18 17:00	0.273	56.51
271	2019.01.18 18:00	0.159	46.96
272	2019.01.30 15:00	0.241	53.83
273	2019.02.01 15:00	0.209	51.15
274	2019.02.01 16:00	0.379	65.39
275	2019.02.01 17:00	0.311	59.69
276	2019.02.01 18:00	0.196	50.06
277	2019.02.11 04:00	0.167	47.63
278	2019.02.11 05:00	0.099	41.93
279	2019.02.11 10:00	0.272	56.42
280	2019.02.11 15:00	0.185	49.13
281	2019.02.13 21:00	0.069	39.42
282	2019.02.22 11:00	0.094	41.51
283	2019.02.25 15:00	0.098	41.85
284	2019.02.25 16:00	0.056	38.33
285	2019.02.25 17:00	0.250	54.58
286	2019.02.25 18:00	0.327	61.03
287	2019.02.27 16:00	0.198	50.22
288	2019.02.27 17:00	0.109	42.77
289	2019.02.27 18:00	0.054	38.16
290	2019.02.27 19:00	0.029	36.07
291	2019.02.28 15:00	0.444	70.83
292	2019.02.28 16:00	0.234	53.24
293	2019.02.28 17:00	0.128	44.36
294	2019.03.12 01:00	0.123	43.94
