[20190327_172317 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
total bars	58414

[20190327_172317 / views.py:12036]
[20190327_172317 / views.py:11765]==============================
average	0.084
max	0.626
min	-0.114
variance	0.0052895
std	0.07273
median	0.067

[20190327_172317 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
247	2018.07.06 07:30	0.037	43.55
248	2018.07.06 08:55	0.159	60.32
249	2018.07.06 09:00	0.141	57.85
250	2018.07.06 14:10	0.070	48.08
251	2018.07.06 14:15	0.009	39.70
252	2018.07.06 15:30	0.265	74.90
253	2018.07.09 08:40	0.090	50.83
254	2018.07.09 09:05	0.170	61.83
255	2018.07.09 14:35	0.053	45.75
256	2018.07.10 01:00	0.048	45.06
257	2018.07.10 02:15	0.069	47.95
258	2018.07.10 02:20	0.086	50.28
259	2018.07.10 02:35	0.062	46.98
260	2018.07.10 08:05	0.043	44.37
261	2018.07.10 08:20	0.026	42.03
262	2018.07.10 17:40	0.056	46.16
263	2018.07.10 18:25	0.080	49.46
264	2018.07.10 18:30	0.052	45.61
265	2018.07.10 18:35	0.041	44.10
266	2018.07.11 04:55	0.169	61.70
267	2018.07.11 15:30	0.154	59.63
268	2018.07.11 15:35	0.106	53.03
269	2018.07.11 15:40	0.053	45.75
270	2018.07.12 02:55	0.115	54.27
271	2018.07.12 03:00	0.127	55.92
272	2018.07.12 03:05	0.055	46.02
273	2018.07.12 04:30	0.244	72.01
274	2018.07.12 06:10	0.070	48.08
275	2018.07.12 08:15	0.040	43.96
276	2018.07.12 10:05	0.120	54.96
277	2018.07.12 10:10	0.153	59.50
278	2018.07.12 13:35	0.113	54.00
279	2018.07.12 18:45	0.064	47.26
280	2018.07.13 02:20	0.040	43.96
281	2018.07.13 02:25	0.034	43.13
282	2018.07.13 02:30	0.033	43.00
283	2018.07.13 17:45	0.117	54.55
284	2018.07.16 03:30	0.053	45.75
285	2018.07.16 03:35	0.025	41.90
286	2018.07.16 03:40	0.049	45.20
287	2018.07.16 08:05	0.026	42.03
288	2018.07.16 08:45	0.098	51.93
289	2018.07.16 14:00	0.023	41.62
290	2018.07.16 14:05	0.008	39.56
291	2018.07.17 02:45	0.029	42.45
292	2018.07.17 03:10	0.110	53.58
293	2018.07.17 09:10	0.167	61.42
294	2018.07.17 09:25	0.027	42.17
295	2018.07.17 11:40	0.055	46.02
296	2018.07.17 17:30	0.090	50.83
297	2018.07.18 02:30	0.057	46.30
298	2018.07.18 02:35	0.033	43.00
299	2018.07.18 18:55	0.033	43.00
300	2018.07.18 19:00	0.065	47.40
301	2018.07.18 19:20	0.075	48.77
302	2018.07.19 08:30	0.065	47.40
303	2018.07.19 23:55	-0.027	34.75
304	2018.07.20 01:15	0.032	42.86
305	2018.07.20 01:20	0.017	40.80
306	2018.07.20 03:05	0.115	54.27
307	2018.07.20 03:25	0.063	47.12
308	2018.07.20 03:30	0.038	43.68
309	2018.07.20 08:10	0.099	52.07
310	2018.07.20 08:30	0.047	44.92
311	2018.07.20 16:25	0.027	42.17
312	2018.07.23 13:35	0.035	43.27
313	2018.07.23 15:30	0.139	57.57
314	2018.07.23 15:35	0.153	59.50
315	2018.07.23 15:40	0.054	45.88
316	2018.07.23 19:35	0.048	45.06
317	2018.07.24 17:35	0.040	43.96
318	2018.07.25 02:55	0.057	46.30
319	2018.07.25 03:10	0.064	47.26
320	2018.07.25 09:40	0.006	39.28
321	2018.07.25 22:35	0.415	95.52
322	2018.07.26 14:30	0.027	42.17
323	2018.07.26 15:30	0.139	57.57
324	2018.07.27 07:30	0.030	42.58
325	2018.07.27 07:35	0.021	41.35
326	2018.07.27 08:00	0.092	51.11
327	2018.07.27 08:05	0.034	43.13
328	2018.07.27 08:10	0.012	40.11
329	2018.07.27 16:45	0.089	50.70
330	2018.07.27 20:55	0.022	41.48
331	2018.07.30 11:55	0.045	44.65
332	2018.07.30 18:45	0.022	41.48
333	2018.07.31 04:25	0.036	43.41
334	2018.07.31 04:30	0.018	40.93
335	2018.07.31 04:35	0.022	41.48
336	2018.07.31 07:05	0.383	91.12
337	2018.07.31 08:55	0.065	47.40
338	2018.07.31 09:00	0.105	52.90
339	2018.07.31 11:50	0.136	57.16
340	2018.07.31 13:35	0.071	48.22
341	2018.07.31 13:40	0.053	45.75
342	2018.07.31 14:00	0.046	44.78
343	2018.08.01 05:55	0.032	42.86
344	2018.08.01 06:45	0.058	46.43
345	2018.08.01 08:55	0.108	53.31
346	2018.08.01 09:15	0.059	46.57
347	2018.08.01 15:25	0.078	49.18
348	2018.08.01 23:30	0.179	63.07
349	2018.08.03 02:05	0.048	45.06
350	2018.08.03 03:45	0.058	46.43
351	2018.08.03 08:15	0.038	43.68
352	2018.08.03 14:30	0.034	43.13
353	2018.08.06 05:00	0.086	50.28
354	2018.08.07 09:15	0.042	44.23
355	2018.08.07 09:20	0.019	41.07
356	2018.08.07 09:40	0.048	45.06
357	2018.08.07 09:45	0.110	53.58
358	2018.08.07 09:50	0.123	55.37
359	2018.08.07 09:55	0.032	42.86
360	2018.08.07 16:45	0.013	40.25
361	2018.08.07 16:50	0.047	44.92
362	2018.08.07 21:05	0.067	47.67
363	2018.08.07 21:10	0.089	50.70
364	2018.08.07 21:15	0.079	49.32
365	2018.08.07 21:20	0.086	50.28
366	2018.08.07 21:25	0.070	48.08
367	2018.08.07 21:30	0.011	39.97
368	2018.08.08 04:35	0.026	42.03
369	2018.08.08 06:05	0.155	59.77
370	2018.08.08 13:25	0.074	48.63
371	2018.08.08 13:30	0.006	39.28
372	2018.08.08 17:45	0.072	48.36
373	2018.08.08 21:10	0.051	45.47
374	2018.08.09 06:00	0.046	44.78
375	2018.08.09 06:05	0.032	42.86
376	2018.08.09 06:10	0.017	40.80
377	2018.08.09 06:15	0.016	40.66
378	2018.08.09 08:25	0.073	48.50
379	2018.08.09 08:30	0.051	45.47
380	2018.08.09 11:45	0.060	46.71
381	2018.08.09 11:50	0.086	50.28
382	2018.08.09 13:10	0.061	46.85
383	2018.08.10 22:15	0.498	106.93
384	2018.08.13 08:15	0.129	56.20
385	2018.08.13 14:50	0.447	99.92
386	2018.08.13 23:20	0.112	53.86
387	2018.08.14 06:30	0.107	53.17
388	2018.08.14 09:05	0.234	70.63
389	2018.08.14 09:10	0.204	66.51
390	2018.08.14 20:00	0.168	61.56
391	2018.08.15 04:20	0.083	49.87
392	2018.08.15 10:15	0.113	54.00
393	2018.08.16 04:25	0.472	103.36
394	2018.08.16 04:30	0.376	90.16
