[20190327_172320 / views.py:13670]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-6.3-seq].(20190327_172320).csv
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
bars	58414

[20190327_172320 / views.py:13739]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
119	2018.05.23 18:15	2018.05.23 18:20	2018.05.23 18:25	0.010	0.009	0.042
120	2018.05.23 18:20	2018.05.23 18:25	2018.05.23 18:30	0.009	0.042	0.031
121	2018.05.23 19:00	2018.05.23 19:05	2018.05.23 19:10	0.035	0.147	0.060
122	2018.05.23 19:35	2018.05.23 19:40	2018.05.23 19:45	0.059	0.077	0.013
123	2018.05.23 20:20	2018.05.23 20:25	2018.05.23 20:30	0.003	0.060	0.012
124	2018.05.23 20:25	2018.05.23 20:30	2018.05.23 20:35	0.060	0.012	0.012
125	2018.05.23 22:15	2018.05.23 22:20	2018.05.23 22:25	0.027	0.005	0.008
126	2018.05.23 22:35	2018.05.23 22:40	2018.05.23 22:45	0.002	0.059	0.031
127	2018.05.24 01:25	2018.05.24 01:30	2018.05.24 01:35	0.001	0.000	0.016
128	2018.05.24 01:30	2018.05.24 01:35	2018.05.24 01:40	0.000	0.016	0.014
129	2018.05.24 01:35	2018.05.24 01:40	2018.05.24 01:45	0.016	0.014	0.012
130	2018.05.24 01:55	2018.05.24 02:00	2018.05.24 02:05	0.009	0.029	0.025
131	2018.05.24 02:00	2018.05.24 02:05	2018.05.24 02:10	0.029	0.025	0.050
132	2018.05.24 02:05	2018.05.24 02:10	2018.05.24 02:15	0.025	0.050	0.009
133	2018.05.24 03:35	2018.05.24 03:40	2018.05.24 03:45	0.043	0.038	0.007
134	2018.05.24 03:55	2018.05.24 04:00	2018.05.24 04:05	0.000	0.053	0.018
135	2018.05.24 05:25	2018.05.24 05:30	2018.05.24 05:35	0.053	0.107	0.008
136	2018.05.24 05:30	2018.05.24 05:35	2018.05.24 05:40	0.107	0.008	0.065
137	2018.05.24 07:25	2018.05.24 07:30	2018.05.24 07:35	0.014	0.035	0.003
138	2018.05.24 07:30	2018.05.24 07:35	2018.05.24 07:40	0.035	0.003	0.040
139	2018.05.24 08:20	2018.05.24 08:25	2018.05.24 08:30	0.022	0.000	0.116
140	2018.05.24 09:35	2018.05.24 09:40	2018.05.24 09:45	0.096	0.094	0.097
141	2018.05.24 10:05	2018.05.24 10:10	2018.05.24 10:15	0.084	0.004	0.131
142	2018.05.24 10:55	2018.05.24 11:00	2018.05.24 11:05	0.034	0.037	0.018
143	2018.05.24 11:00	2018.05.24 11:05	2018.05.24 11:10	0.037	0.018	0.054
144	2018.05.24 11:30	2018.05.24 11:35	2018.05.24 11:40	0.021	0.003	0.052
145	2018.05.24 14:40	2018.05.24 14:45	2018.05.24 14:50	0.016	0.020	0.019
146	2018.05.24 15:25	2018.05.24 15:30	2018.05.24 15:35	0.092	0.114	0.025
147	2018.05.24 15:30	2018.05.24 15:35	2018.05.24 15:40	0.114	0.025	0.063
148	2018.05.24 17:00	2018.05.24 17:05	2018.05.24 17:10	0.033	0.096	0.088
149	2018.05.24 18:20	2018.05.24 18:25	2018.05.24 18:30	0.004	0.089	0.017
150	2018.05.24 19:55	2018.05.24 20:00	2018.05.24 20:05	0.088	0.021	0.000
151	2018.05.24 20:00	2018.05.24 20:05	2018.05.24 20:10	0.021	0.000	0.071
152	2018.05.24 20:05	2018.05.24 20:10	2018.05.24 20:15	0.000	0.071	0.008
153	2018.05.24 20:10	2018.05.24 20:15	2018.05.24 20:20	0.071	0.008	0.004
154	2018.05.24 23:55	2018.05.25 00:05	2018.05.25 00:10	0.010	0.050	0.029
155	2018.05.25 01:30	2018.05.25 01:35	2018.05.25 01:40	0.026	0.008	0.025
156	2018.05.25 01:35	2018.05.25 01:40	2018.05.25 01:45	0.008	0.025	0.017
157	2018.05.25 01:40	2018.05.25 01:45	2018.05.25 01:50	0.025	0.017	0.021
158	2018.05.25 01:45	2018.05.25 01:50	2018.05.25 01:55	0.017	0.021	0.025
159	2018.05.25 02:10	2018.05.25 02:15	2018.05.25 02:20	0.009	0.003	0.039
160	2018.05.25 02:15	2018.05.25 02:20	2018.05.25 02:25	0.003	0.039	0.005
161	2018.05.25 02:45	2018.05.25 02:50	2018.05.25 02:55	0.003	0.030	0.004
162	2018.05.25 03:05	2018.05.25 03:10	2018.05.25 03:15	0.103	0.110	0.048
163	2018.05.25 04:15	2018.05.25 04:20	2018.05.25 04:25	0.017	0.067	0.026
164	2018.05.25 04:20	2018.05.25 04:25	2018.05.25 04:30	0.067	0.026	0.115
165	2018.05.25 05:35	2018.05.25 05:40	2018.05.25 05:45	0.024	0.007	0.036
166	2018.05.25 08:40	2018.05.25 08:45	2018.05.25 08:50	0.004	0.003	0.015
167	2018.05.25 09:25	2018.05.25 09:30	2018.05.25 09:35	0.017	0.039	0.023
168	2018.05.25 11:10	2018.05.25 11:15	2018.05.25 11:20	0.088	0.052	0.071
169	2018.05.25 11:15	2018.05.25 11:20	2018.05.25 11:25	0.052	0.071	0.058
170	2018.05.25 11:20	2018.05.25 11:25	2018.05.25 11:30	0.071	0.058	0.207
171	2018.05.25 11:45	2018.05.25 11:50	2018.05.25 11:55	0.041	0.113	0.051
172	2018.05.25 11:50	2018.05.25 11:55	2018.05.25 12:00	0.113	0.051	0.006
173	2018.05.25 11:55	2018.05.25 12:00	2018.05.25 12:05	0.051	0.006	0.000
174	2018.05.25 12:35	2018.05.25 12:40	2018.05.25 12:45	0.041	0.019	0.010
175	2018.05.25 17:00	2018.05.25 17:05	2018.05.25 17:10	0.089	0.024	0.000
