[20190311_090203 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_090203 / views.py:11613]
132	2018.09.04 00:00	2018.09.04 23:00	24	4	8	7	4	0.167	0.333	0.292	0.167
133	2018.09.03 00:00	2018.09.03 23:00	24	7	5	5	4	0.292	0.208	0.208	0.167
134	2018.08.31 00:00	2018.08.31 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
135	2018.08.30 00:00	2018.08.30 23:00	24	1	8	7	7	0.042	0.333	0.292	0.292
136	2018.08.29 00:00	2018.08.29 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
137	2018.08.28 00:00	2018.08.28 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
138	2018.08.27 00:00	2018.08.27 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
139	2018.08.24 00:00	2018.08.24 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
140	2018.08.23 00:00	2018.08.23 23:00	24	6	4	5	8	0.250	0.167	0.208	0.333
141	2018.08.22 00:00	2018.08.22 23:00	24	5	7	6	3	0.208	0.292	0.250	0.125
142	2018.08.21 00:00	2018.08.21 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
143	2018.08.20 00:00	2018.08.20 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
144	2018.08.17 00:00	2018.08.17 23:00	24	6	8	7	2	0.250	0.333	0.292	0.083
145	2018.08.16 00:00	2018.08.16 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
146	2018.08.15 00:00	2018.08.15 23:00	24	5	4	4	10	0.208	0.167	0.167	0.417
147	2018.08.14 00:00	2018.08.14 23:00	24	5	7	6	3	0.208	0.292	0.250	0.125
148	2018.08.13 00:00	2018.08.13 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
149	2018.08.10 00:00	2018.08.10 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
150	2018.08.09 00:00	2018.08.09 23:00	24	1	6	5	11	0.042	0.250	0.208	0.458
151	2018.08.08 00:00	2018.08.08 23:00	24	5	5	4	7	0.208	0.208	0.167	0.292
152	2018.08.07 00:00	2018.08.07 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
153	2018.08.06 00:00	2018.08.06 23:00	24	3	6	5	9	0.125	0.250	0.208	0.375
154	2018.08.03 00:00	2018.08.03 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
155	2018.08.02 00:00	2018.08.02 23:00	24	5	5	4	9	0.208	0.208	0.167	0.375
156	2018.08.01 00:00	2018.08.01 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
157	2018.07.31 00:00	2018.07.31 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
158	2018.07.30 00:00	2018.07.30 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
159	2018.07.27 00:00	2018.07.27 23:00	24	5	7	8	3	0.208	0.292	0.333	0.125
160	2018.07.26 00:00	2018.07.26 23:00	24	1	5	6	9	0.042	0.208	0.250	0.375
161	2018.07.25 00:00	2018.07.25 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
162	2018.07.24 00:00	2018.07.24 23:00	24	8	7	7	1	0.333	0.292	0.292	0.042
163	2018.07.23 00:00	2018.07.23 23:00	24	2	7	6	8	0.083	0.292	0.250	0.333
164	2018.07.20 00:00	2018.07.20 23:00	24	6	6	5	4	0.250	0.250	0.208	0.167
165	2018.07.19 00:00	2018.07.19 23:00	24	1	5	6	11	0.042	0.208	0.250	0.458
166	2018.07.18 00:00	2018.07.18 23:00	24	6	5	4	8	0.250	0.208	0.167	0.333
167	2018.07.17 00:00	2018.07.17 23:00	24	5	7	8	3	0.208	0.292	0.333	0.125
168	2018.07.16 00:00	2018.07.16 23:00	24	4	6	7	6	0.167	0.250	0.292	0.250
169	2018.07.13 00:00	2018.07.13 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
170	2018.07.12 00:00	2018.07.12 23:00	24	14	3	4	2	0.583	0.125	0.167	0.083
171	2018.07.11 00:00	2018.07.11 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
172	2018.07.10 00:00	2018.07.10 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
173	2018.07.09 00:00	2018.07.09 23:00	24	8	6	7	0	0.333	0.250	0.292	0.000
174	2018.07.06 00:00	2018.07.06 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
175	2018.07.05 00:00	2018.07.05 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
176	2018.07.04 00:00	2018.07.04 23:00	24	3	8	8	3	0.125	0.333	0.333	0.125
177	2018.07.03 00:00	2018.07.03 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
178	2018.07.02 00:00	2018.07.02 23:00	24	4	4	5	10	0.167	0.167	0.208	0.417
179	2018.06.29 00:00	2018.06.29 23:00	24	3	8	9	3	0.125	0.333	0.375	0.125
180	2018.06.28 00:00	2018.06.28 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
181	2018.06.27 00:00	2018.06.27 23:00	24	3	6	7	7	0.125	0.250	0.292	0.292
182	2018.06.26 00:00	2018.06.26 23:00	24	6	7	6	4	0.250	0.292	0.250	0.167
