Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
779;131.412;131.44;131.359;131.43;47.7864923039;39.4463387779;131.7672514164;131.6017757082;131.4363;131.2708242918;131.1053485836;0.018;0.081;2018.07.18 21:00;2018.07.19 04:00;51
780;131.442;131.468;131.398;131.413;46.9554432755;41.3594263464;131.7903916544;131.6187458272;131.4471;131.2754541728;131.1038083456;-0.029;0.07;2018.07.18 20:00;2018.07.19 03:00;52
781;131.373;131.493;131.361;131.443;48.242718733;40.0800542883;131.8086878504;131.6331189252;131.45755;131.2819810748;131.1064121496;0.07;0.132;2018.07.18 19:00;2018.07.19 02:00;53
782;131.303;131.39;131.273;131.375;44.9956312249;38.2551170328;131.8264293197;131.6467646599;131.4671;131.2874353401;131.1077706803;0.072;0.117;2018.07.18 18:00;2018.07.19 01:00;54
783;131.287;131.382;131.248;131.302;41.2357577495;36.6043411278;131.8423594769;131.6609297385;131.4795;131.2980702615;131.1166405231;0.015;0.134;2018.07.18 17:00;2018.07.19 00:00;55
784;131.128;131.313;131.095;131.288;40.4946854474;30.7424702092;131.8509806407;131.6726153203;131.49425;131.3158846797;131.1375193593;0.16;0.218;2018.07.18 16:00;2018.07.18 23:00;56
785;131.118;131.144;130.88;131.125;30.84910363;28.7457220915;131.8559739378;131.6828369689;131.5097;131.3365630311;131.1634260622;0.007;0.264;2018.07.18 15:00;2018.07.18 22:00;57
786;131.321;131.321;131.108;131.118;30.3887557885;29.4259091016;131.8284466395;131.6794733198;131.5305;131.3815266802;131.2325533605;-0.203;0.213;2018.07.18 14:00;2018.07.18 21:00;58
787;131.314;131.388;131.228;131.323;37.2964912983;28.9189737279;131.7827901964;131.6677200982;131.55265;131.4375799018;131.3225098036;0.009;0.16;2018.07.18 13:00;2018.07.18 20:00;59
788;131.362;131.393;131.272;131.315;36.7635863606;36.7337341748;131.8065967968;131.6916733984;131.57675;131.4618266016;131.3469032032;-0.047;0.121;2018.07.18 12:00;2018.07.18 19:00;60
789;131.411;131.416;131.23;131.359;38.4719832447;36.294516354;131.811363979;131.7055319895;131.5997;131.4938680105;131.388036021;-0.052;0.186;2018.07.18 11:00;2018.07.18 18:00;61
790;131.523;131.601;131.355;131.41;40.5467438235;36.334010485;131.8142751532;131.7173625766;131.62045;131.5235374234;131.4266248468;-0.113;0.246;2018.07.18 10:00;2018.07.18 17:00;62
791;131.479;131.585;131.419;131.522;45.6870365735;36.7450252141;131.8251777847;131.7327638924;131.64035;131.5479361076;131.4555222153;0.043;0.166;2018.07.18 09:00;2018.07.18 16:00;63
792;131.554;131.584;131.455;131.479;43.0539221873;30.36800336;131.8517695273;131.7539847636;131.6562;131.5584152364;131.4606304727;-0.075;0.129;2018.07.18 08:00;2018.07.18 15:00;64
793;131.604;131.612;131.509;131.55;46.5975032506;30.6568158647;131.8634360931;131.7683430465;131.67325;131.5781569535;131.4830639069;-0.054;0.103;2018.07.18 07:00;2018.07.18 14:00;65
794;131.614;131.645;131.587;131.602;49.4280596515;36.1991576876;131.8979476734;131.7945238367;131.6911;131.5876761633;131.4842523266;-0.012;0.058;2018.07.18 06:00;2018.07.18 13:00;66
795;131.65;131.697;131.611;131.613;50.0389030617;34.7243961941;131.9029451541;131.8007975771;131.69865;131.5965024229;131.4943548459;-0.037;0.086;2018.07.18 05:00;2018.07.18 12:00;67
796;131.71;131.723;131.625;131.646;51.865661457;39.8315052831;131.9179654099;131.8138077049;131.70965;131.6054922951;131.5013345901;-0.064;0.098;2018.07.18 04:00;2018.07.18 11:00;68
797;131.702;131.774;131.67;131.71;55.6057572908;40.5861846003;131.9179230325;131.8142865162;131.71065;131.6070134838;131.5033769675;0.008;0.104;2018.07.18 03:00;2018.07.18 10:00;69
