[20190325_083514 / views.py:12748]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190325_082029).20190318_092307.csv
slice by	through
this file	(20190325_083511).(USDJPY-D1).[sec-1.A-6.3-seq].(20190325_083514).csv
pair	USDJPY
timeframe	D1
start	2012.06.01 00:00
end	2019.03.25 00:00
bars	2036

[20190325_083514 / views.py:12816]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
115	2014.12.02 00:00	2014.12.03 00:00	2014.12.04 00:00	1.325	0.432	0.092
116	2014.12.03 00:00	2014.12.04 00:00	2014.12.05 00:00	0.432	0.092	1.876
117	2014.12.17 00:00	2014.12.18 00:00	2014.12.19 00:00	0.624	2.033	0.130
118	2014.12.18 00:00	2014.12.19 00:00	2014.12.20 00:00	2.033	0.130	0.165
119	2014.12.19 00:00	2014.12.20 00:00	2014.12.22 00:00	0.130	0.165	0.392
120	2014.12.20 00:00	2014.12.22 00:00	2014.12.23 00:00	0.165	0.392	0.904
121	2014.12.31 00:00	2015.01.01 00:00	2015.01.02 00:00	0.361	0.176	0.937
122	2015.01.22 00:00	2015.01.23 00:00	2015.01.24 00:00	0.010	0.292	0.029
123	2015.01.23 00:00	2015.01.24 00:00	2015.01.26 00:00	0.292	0.029	0.728
124	2015.02.05 00:00	2015.02.06 00:00	2015.02.07 00:00	0.022	1.339	0.240
125	2015.02.16 00:00	2015.02.17 00:00	2015.02.18 00:00	0.104	0.395	0.384
126	2015.02.26 00:00	2015.02.27 00:00	2015.02.28 00:00	0.171	0.223	0.201
127	2015.02.27 00:00	2015.02.28 00:00	2015.03.02 00:00	0.223	0.201	0.132
128	2015.03.04 00:00	2015.03.05 00:00	2015.03.06 00:00	0.239	0.367	1.025
129	2015.03.09 00:00	2015.03.10 00:00	2015.03.11 00:00	0.231	0.061	0.234
130	2015.04.04 00:00	2015.04.06 00:00	2015.04.07 00:00	0.063	0.170	1.341
131	2015.04.20 00:00	2015.04.21 00:00	2015.04.22 00:00	0.280	0.273	0.301
132	2015.04.29 00:00	2015.04.30 00:00	2015.05.01 00:00	0.122	0.729	0.449
133	2015.04.30 00:00	2015.05.01 00:00	2015.05.02 00:00	0.729	0.449	0.014
134	2015.05.14 00:00	2015.05.15 00:00	2015.05.16 00:00	0.129	0.075	0.089
135	2015.05.15 00:00	2015.05.16 00:00	2015.05.18 00:00	0.075	0.089	0.582
136	2015.05.16 00:00	2015.05.18 00:00	2015.05.19 00:00	0.089	0.582	0.839
137	2015.05.18 00:00	2015.05.19 00:00	2015.05.20 00:00	0.582	0.839	0.515
138	2015.05.26 00:00	2015.05.27 00:00	2015.05.28 00:00	1.589	0.702	0.481
139	2015.06.03 00:00	2015.06.04 00:00	2015.06.05 00:00	0.017	0.366	1.155
140	2015.06.22 00:00	2015.06.23 00:00	2015.06.24 00:00	0.260	0.677	0.466
141	2015.07.09 00:00	2015.07.10 00:00	2015.07.11 00:00	0.269	1.346	0.091
142	2015.07.10 00:00	2015.07.11 00:00	2015.07.13 00:00	1.346	0.091	1.116
143	2015.07.28 00:00	2015.07.29 00:00	2015.07.30 00:00	0.507	0.180	0.540
144	2015.08.15 00:00	2015.08.17 00:00	2015.08.18 00:00	0.022	0.121	0.065
145	2015.08.27 00:00	2015.08.28 00:00	2015.08.29 00:00	1.596	0.267	0.588
146	2015.09.07 00:00	2015.09.08 00:00	2015.09.09 00:00	0.460	0.418	1.216
147	2015.09.15 00:00	2015.09.16 00:00	2015.09.17 00:00	0.065	0.344	0.410
148	2015.10.16 00:00	2015.10.17 00:00	2015.10.19 00:00	0.672	0.278	0.138
149	2015.10.17 00:00	2015.10.19 00:00	2015.10.20 00:00	0.278	0.138	0.441
150	2015.10.19 00:00	2015.10.20 00:00	2015.10.21 00:00	0.138	0.441	0.010
151	2015.10.20 00:00	2015.10.21 00:00	2015.10.22 00:00	0.441	0.010	0.436
152	2015.10.21 00:00	2015.10.22 00:00	2015.10.23 00:00	0.010	0.436	0.761
153	2015.10.22 00:00	2015.10.23 00:00	2015.10.24 00:00	0.436	0.761	0.341
154	2015.10.31 00:00	2015.11.02 00:00	2015.11.03 00:00	0.168	0.133	0.657
155	2015.11.02 00:00	2015.11.03 00:00	2015.11.04 00:00	0.133	0.657	0.063
156	2015.11.03 00:00	2015.11.04 00:00	2015.11.05 00:00	0.657	0.063	0.530
157	2015.11.04 00:00	2015.11.05 00:00	2015.11.06 00:00	0.063	0.530	0.997
158	2015.11.05 00:00	2015.11.06 00:00	2015.11.07 00:00	0.530	0.997	0.354
159	2015.11.06 00:00	2015.11.07 00:00	2015.11.09 00:00	0.997	0.354	0.048
160	2015.11.07 00:00	2015.11.09 00:00	2015.11.10 00:00	0.354	0.048	0.053
161	2015.11.16 00:00	2015.11.17 00:00	2015.11.18 00:00	0.718	0.248	0.101
162	2015.11.27 00:00	2015.11.28 00:00	2015.11.30 00:00	0.159	0.141	0.346
163	2015.11.28 00:00	2015.11.30 00:00	2015.12.01 00:00	0.141	0.346	0.048
164	2015.11.30 00:00	2015.12.01 00:00	2015.12.02 00:00	0.346	0.048	0.331
165	2015.12.15 00:00	2015.12.16 00:00	2015.12.17 00:00	0.626	0.405	0.868
166	2015.12.28 00:00	2015.12.29 00:00	2015.12.30 00:00	0.243	0.038	0.175
167	2016.01.11 00:00	2016.01.12 00:00	2016.01.13 00:00	0.467	0.209	0.342
168	2016.01.16 00:00	2016.01.18 00:00	2016.01.19 00:00	0.008	0.498	0.375
169	2016.01.21 00:00	2016.01.22 00:00	2016.01.23 00:00	0.497	1.405	0.334
170	2016.01.27 00:00	2016.01.28 00:00	2016.01.29 00:00	0.145	0.347	2.713
171	2016.02.12 00:00	2016.02.13 00:00	2016.02.15 00:00	0.264	0.463	0.998
172	2016.02.25 00:00	2016.02.26 00:00	2016.02.27 00:00	1.306	0.876	0.329
173	2016.03.19 00:00	2016.03.21 00:00	2016.03.22 00:00	0.137	0.187	0.020
174	2016.03.21 00:00	2016.03.22 00:00	2016.03.23 00:00	0.187	0.020	0.946
175	2016.04.16 00:00	2016.04.18 00:00	2016.04.19 00:00	0.032	0.481	0.597
176	2016.04.21 00:00	2016.04.22 00:00	2016.04.23 00:00	0.223	2.003	0.294
177	2016.05.07 00:00	2016.05.09 00:00	2016.05.10 00:00	0.443	1.256	0.734
178	2016.05.16 00:00	2016.05.17 00:00	2016.05.18 00:00	0.198	0.120	0.663
179	2016.05.17 00:00	2016.05.18 00:00	2016.05.19 00:00	0.120	0.663	0.291
180	2016.05.18 00:00	2016.05.19 00:00	2016.05.20 00:00	0.663	0.291	0.564
181	2016.05.27 00:00	2016.05.28 00:00	2016.05.30 00:00	0.178	0.451	0.659
182	2016.06.21 00:00	2016.06.22 00:00	2016.06.23 00:00	0.116	0.163	1.012
183	2016.06.25 00:00	2016.06.27 00:00	2016.06.28 00:00	0.101	0.132	1.106
184	2016.07.18 00:00	2016.07.19 00:00	2016.07.20 00:00	0.516	0.533	0.349
185	2016.08.27 00:00	2016.08.29 00:00	2016.08.30 00:00	1.300	0.065	0.645
186	2016.08.29 00:00	2016.08.30 00:00	2016.08.31 00:00	0.065	0.645	0.700
187	2016.09.22 00:00	2016.09.23 00:00	2016.09.24 00:00	0.167	0.144	0.051
188	2016.10.01 00:00	2016.10.03 00:00	2016.10.04 00:00	0.115	0.432	1.243
189	2016.10.03 00:00	2016.10.04 00:00	2016.10.05 00:00	0.432	1.243	0.695
190	2016.10.04 00:00	2016.10.05 00:00	2016.10.06 00:00	1.243	0.695	0.365
191	2016.10.10 00:00	2016.10.11 00:00	2016.10.12 00:00	0.353	0.042	0.437
192	2016.10.22 00:00	2016.10.24 00:00	2016.10.25 00:00	0.017	0.434	0.367
193	2016.11.12 00:00	2016.11.14 00:00	2016.11.15 00:00	0.257	1.546	0.446
194	2016.11.14 00:00	2016.11.15 00:00	2016.11.16 00:00	1.546	0.446	0.385
195	2016.11.15 00:00	2016.11.16 00:00	2016.11.17 00:00	0.446	0.385	0.288
196	2016.11.16 00:00	2016.11.17 00:00	2016.11.18 00:00	0.385	0.288	0.860
197	2016.11.17 00:00	2016.11.18 00:00	2016.11.19 00:00	0.288	0.860	0.533
198	2016.11.18 00:00	2016.11.19 00:00	2016.11.21 00:00	0.860	0.533	0.014
199	2016.11.19 00:00	2016.11.21 00:00	2016.11.22 00:00	0.533	0.014	0.053
200	2016.11.21 00:00	2016.11.22 00:00	2016.11.23 00:00	0.014	0.053	1.303
201	2016.11.22 00:00	2016.11.23 00:00	2016.11.24 00:00	0.053	1.303	0.775
202	2016.11.29 00:00	2016.11.30 00:00	2016.12.01 00:00	0.294	0.690	1.056
203	2016.12.05 00:00	2016.12.06 00:00	2016.12.07 00:00	0.548	0.164	0.039
204	2016.12.06 00:00	2016.12.07 00:00	2016.12.08 00:00	0.164	0.039	0.108
205	2016.12.07 00:00	2016.12.08 00:00	2016.12.09 00:00	0.039	0.108	0.949
206	2016.12.08 00:00	2016.12.09 00:00	2016.12.10 00:00	0.108	0.949	0.162
207	2016.12.09 00:00	2016.12.10 00:00	2016.12.12 00:00	0.949	0.162	0.023
208	2016.12.30 00:00	2016.12.31 00:00	2017.01.02 00:00	0.025	0.313	0.597
209	2016.12.31 00:00	2017.01.02 00:00	2017.01.03 00:00	0.313	0.597	0.868
210	2017.01.25 00:00	2017.01.26 00:00	2017.01.27 00:00	0.689	0.482	0.809
211	2017.02.18 00:00	2017.02.20 00:00	2017.02.21 00:00	0.056	0.209	0.386
212	2017.03.07 00:00	2017.03.08 00:00	2017.03.09 00:00	0.257	0.463	0.329
213	2017.03.08 00:00	2017.03.09 00:00	2017.03.10 00:00	0.463	0.329	0.178
214	2017.03.23 00:00	2017.03.24 00:00	2017.03.25 00:00	0.016	0.115	0.124
215	2017.03.29 00:00	2017.03.30 00:00	2017.03.31 00:00	0.757	0.307	0.112
216	2017.04.18 00:00	2017.04.19 00:00	2017.04.20 00:00	0.331	0.255	0.228
217	2017.04.28 00:00	2017.04.29 00:00	2017.05.01 00:00	0.254	0.052	0.274
218	2017.04.29 00:00	2017.05.01 00:00	2017.05.02 00:00	0.052	0.274	0.491
219	2017.05.01 00:00	2017.05.02 00:00	2017.05.03 00:00	0.274	0.491	0.212
220	2017.05.02 00:00	2017.05.03 00:00	2017.05.04 00:00	0.491	0.212	0.414
221	2017.06.15 00:00	2017.06.16 00:00	2017.06.17 00:00	1.679	0.058	0.181
222	2017.06.16 00:00	2017.06.17 00:00	2017.06.19 00:00	0.058	0.181	0.371
223	2017.06.17 00:00	2017.06.19 00:00	2017.06.20 00:00	0.181	0.371	0.404
224	2017.06.24 00:00	2017.06.26 00:00	2017.06.27 00:00	0.008	0.700	0.497
225	2017.06.26 00:00	2017.06.27 00:00	2017.06.28 00:00	0.700	0.497	0.034
226	2017.08.28 00:00	2017.08.29 00:00	2017.08.30 00:00	0.063	0.526	0.535
227	2017.09.11 00:00	2017.09.12 00:00	2017.09.13 00:00	1.226	0.775	0.337
228	2017.09.15 00:00	2017.09.18 00:00	2017.09.19 00:00	0.588	0.517	0.032
229	2017.09.18 00:00	2017.09.19 00:00	2017.09.20 00:00	0.517	0.032	0.613
230	2017.09.19 00:00	2017.09.20 00:00	2017.09.21 00:00	0.032	0.613	0.252
231	2017.09.29 00:00	2017.10.02 00:00	2017.10.03 00:00	0.173	0.273	0.091
232	2017.10.16 00:00	2017.10.17 00:00	2017.10.18 00:00	0.402	0.020	0.733
233	2017.11.28 00:00	2017.11.29 00:00	2017.11.30 00:00	0.382	0.473	0.660
234	2017.12.07 00:00	2017.12.08 00:00	2017.12.11 00:00	0.834	0.374	0.026
235	2017.12.08 00:00	2017.12.11 00:00	2017.12.12 00:00	0.374	0.026	0.017
236	2018.01.03 00:00	2018.01.04 00:00	2018.01.05 00:00	0.213	0.266	0.311
237	2018.01.31 00:00	2018.02.01 00:00	2018.02.02 00:00	0.396	0.214	0.773
238	2018.02.16 00:00	2018.02.19 00:00	2018.02.20 00:00	0.171	0.282	0.735
239	2018.02.19 00:00	2018.02.20 00:00	2018.02.21 00:00	0.282	0.735	0.438
240	2018.04.03 00:00	2018.04.04 00:00	2018.04.05 00:00	0.721	0.149	0.621
241	2018.04.18 00:00	2018.04.19 00:00	2018.04.20 00:00	0.216	0.133	0.271
242	2018.04.19 00:00	2018.04.20 00:00	2018.04.23 00:00	0.133	0.271	0.931
243	2018.04.20 00:00	2018.04.23 00:00	2018.04.24 00:00	0.271	0.931	0.106
244	2018.04.23 00:00	2018.04.24 00:00	2018.04.25 00:00	0.931	0.106	0.602
245	2018.05.14 00:00	2018.05.15 00:00	2018.05.16 00:00	0.302	0.694	0.045
246	2018.05.15 00:00	2018.05.16 00:00	2018.05.17 00:00	0.694	0.045	0.409
247	2018.05.16 00:00	2018.05.17 00:00	2018.05.18 00:00	0.045	0.409	0.014
248	2018.05.17 00:00	2018.05.18 00:00	2018.05.21 00:00	0.409	0.014	0.170
249	2018.06.01 00:00	2018.06.04 00:00	2018.06.05 00:00	0.703	0.357	0.023
250	2018.06.04 00:00	2018.06.05 00:00	2018.06.06 00:00	0.357	0.023	0.360
251	2018.06.26 00:00	2018.06.27 00:00	2018.06.28 00:00	0.257	0.235	0.248
252	2018.06.27 00:00	2018.06.28 00:00	2018.06.29 00:00	0.235	0.248	0.207
253	2018.06.28 00:00	2018.06.29 00:00	2018.07.02 00:00	0.248	0.207	0.290
254	2018.07.09 00:00	2018.07.10 00:00	2018.07.11 00:00	0.430	0.232	1.021
255	2018.07.10 00:00	2018.07.11 00:00	2018.07.12 00:00	0.232	1.021	0.506
256	2018.08.21 00:00	2018.08.22 00:00	2018.08.23 00:00	0.202	0.324	0.726
257	2018.08.31 00:00	2018.09.03 00:00	2018.09.04 00:00	0.130	0.053	0.463
258	2018.09.03 00:00	2018.09.04 00:00	2018.09.05 00:00	0.053	0.463	0.088
259	2018.09.07 00:00	2018.09.10 00:00	2018.09.11 00:00	0.312	0.092	0.457
260	2018.09.20 00:00	2018.09.21 00:00	2018.09.24 00:00	0.232	0.075	0.379
261	2018.09.21 00:00	2018.09.24 00:00	2018.09.25 00:00	0.075	0.379	0.221
262	2018.09.27 00:00	2018.09.28 00:00	2018.10.01 00:00	0.709	0.310	0.242
263	2018.11.02 00:00	2018.11.05 00:00	2018.11.06 00:00	0.502	0.037	0.253
264	2018.11.05 00:00	2018.11.06 00:00	2018.11.07 00:00	0.037	0.253	0.142
265	2018.11.06 00:00	2018.11.07 00:00	2018.11.08 00:00	0.253	0.142	0.532
266	2018.12.07 00:00	2018.12.10 00:00	2018.12.11 00:00	0.042	0.741	0.051
267	2019.01.04 00:00	2019.01.07 00:00	2019.01.08 00:00	0.873	0.222	0.009
268	2019.01.15 00:00	2019.01.16 00:00	2019.01.17 00:00	0.519	0.432	0.154
269	2019.01.16 00:00	2019.01.17 00:00	2019.01.18 00:00	0.432	0.154	0.497
270	2019.02.01 00:00	2019.02.04 00:00	2019.02.05 00:00	0.650	0.358	0.088
271	2019.02.04 00:00	2019.02.05 00:00	2019.02.06 00:00	0.358	0.088	0.004
272	2019.02.11 00:00	2019.02.12 00:00	2019.02.13 00:00	0.638	0.092	0.545
273	2019.02.18 00:00	2019.02.19 00:00	2019.02.20 00:00	0.146	0.031	0.222
274	2019.02.27 00:00	2019.02.28 00:00	2019.03.01 00:00	0.405	0.398	0.548
