[20190318_090305 / views.py:11855]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190318_090156).20190318_085834.csv
slice by	through
this file	(20190318_090303).(USDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	H1
start	2017.08.18 14:00
end	2019.03.18 02:00
total bars	9723

[20190318_090305 / views.py:11873]
[20190318_090305 / views.py:11613]==============================
average	0.196
max	0.610
min	0.006
variance	0.0141829
std	0.11909
median	0.174

[20190318_090305 / views.py:11635]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
248	2018.12.13 17:00	0.116
249	2018.12.26 19:00	0.521
250	2018.12.26 20:00	0.403
251	2019.01.04 04:00	0.490
252	2019.01.04 05:00	0.222
253	2019.01.11 20:00	0.087
254	2019.01.11 21:00	0.075
255	2019.01.11 22:00	0.056
256	2019.01.15 02:00	0.171
257	2019.01.15 03:00	0.133
258	2019.01.15 04:00	0.146
259	2019.01.15 05:00	0.091
260	2019.01.15 06:00	0.162
261	2019.01.16 12:00	0.218
262	2019.01.16 13:00	0.076
263	2019.01.18 17:00	0.273
264	2019.01.18 18:00	0.159
265	2019.01.30 15:00	0.241
266	2019.02.01 15:00	0.209
267	2019.02.01 16:00	0.379
268	2019.02.01 17:00	0.311
269	2019.02.01 18:00	0.196
270	2019.02.11 04:00	0.167
271	2019.02.11 05:00	0.099
272	2019.02.11 10:00	0.272
273	2019.02.11 15:00	0.185
274	2019.02.13 21:00	0.069
275	2019.02.22 11:00	0.094
276	2019.02.25 15:00	0.098
277	2019.02.25 16:00	0.056
278	2019.02.25 17:00	0.250
279	2019.02.25 18:00	0.327
280	2019.02.27 16:00	0.198
281	2019.02.27 17:00	0.109
282	2019.02.27 18:00	0.054
283	2019.02.27 19:00	0.029
284	2019.02.28 15:00	0.444
285	2019.02.28 16:00	0.234
286	2019.02.28 17:00	0.128
287	2019.03.12 01:00	0.123
