[libfx_5.py:464 / 20190731_162632]
fname_Src_Csv	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
dpath_Src_Csv	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw


[libfx_5.py:584 / 20190731_162632] cntOf_SLs	\280 (0.805)
cntOf_TPs	\68 (0.195)

st_idx	st_pr	cu_idx	cu_pr	e0.price_High	e0.price_Low	exit
127	331	80.294	333	80.289	80.366	80.286	STATUS_POS_EXIT__TP
128	335	80.348	335	80.348	80.358	80.317	STATUS_POS_EXIT__SL
129	336	80.327	342	80.402	80.428	80.354	STATUS_POS_EXIT__SL
130	344	80.371	344	80.371	80.374	80.316	STATUS_POS_EXIT__SL
131	345	80.343	345	80.379	80.404	80.350	STATUS_POS_EXIT__SL
132	347	80.349	347	80.349	80.349	80.250	STATUS_POS_EXIT__SL
133	348	80.283	348	80.283	80.388	80.262	STATUS_POS_EXIT__TP
134	349	80.383	349	80.383	80.394	80.293	STATUS_POS_EXIT__SL
135	350	80.330	352	80.396	80.409	80.363	STATUS_POS_EXIT__SL
136	354	80.367	363	80.373	80.372	80.329	STATUS_POS_EXIT__SL
137	365	80.353	365	80.353	80.357	80.317	STATUS_POS_EXIT__SL
138	366	80.328	373	80.345	80.352	80.292	STATUS_POS_EXIT__SL
139	375	80.326	375	80.326	80.330	80.276	STATUS_POS_EXIT__SL
140	376	80.282	382	80.306	80.315	80.273	STATUS_POS_EXIT__SL
141	384	80.305	384	80.303	80.375	80.296	STATUS_POS_EXIT__TP
142	386	80.365	386	80.365	80.386	80.312	STATUS_POS_EXIT__SL
143	387	80.320	387	80.320	80.321	80.271	STATUS_POS_EXIT__SL
144	389	80.289	389	80.266	80.274	80.209	STATUS_POS_EXIT__SL
145	391	80.225	391	80.225	80.271	80.054	STATUS_POS_EXIT__SL
146	392	80.071	392	80.071	80.092	79.949	STATUS_POS_EXIT__SL
147	393	79.993	393	79.993	80.005	79.903	STATUS_POS_EXIT__SL
148	394	79.907	394	79.907	79.984	79.902	STATUS_POS_EXIT__TP
149	395	79.984	396	80.027	80.030	79.968	STATUS_POS_EXIT__SL
150	398	79.993	404	80.035	80.041	79.992	STATUS_POS_EXIT__SL
151	406	79.997	406	79.997	80.059	79.990	STATUS_POS_EXIT__TP
152	407	80.059	407	80.059	80.066	80.015	STATUS_POS_EXIT__SL
153	408	80.045	408	80.045	80.046	79.960	STATUS_POS_EXIT__SL
154	409	79.988	409	80.019	80.027	79.981	STATUS_POS_EXIT__SL
155	411	79.995	411	80.009	80.009	79.947	STATUS_POS_EXIT__SL
156	413	79.965	417	80.007	80.023	79.963	STATUS_POS_EXIT__SL
157	419	79.962	420	80.028	80.042	79.938	STATUS_POS_EXIT__SL
158	422	79.936	422	79.936	80.001	79.914	STATUS_POS_EXIT__TP
159	423	79.956	423	79.956	79.959	79.913	STATUS_POS_EXIT__SL
160	424	79.927	424	79.927	79.961	79.895	STATUS_POS_EXIT__SL
161	425	79.931	425	79.963	79.971	79.905	STATUS_POS_EXIT__SL
162	427	79.912	430	80.021	80.085	80.000	STATUS_POS_EXIT__TP
163	432	80.083	432	80.083	80.234	80.079	STATUS_POS_EXIT__TP
164	433	80.221	433	80.221	80.286	80.221	STATUS_POS_EXIT__TP
165	434	80.284	434	80.283	80.284	80.222	STATUS_POS_EXIT__SL
166	436	80.232	436	80.224	80.287	80.211	STATUS_POS_EXIT__TP
167	438	80.259	439	80.310	80.313	80.265	STATUS_POS_EXIT__SL
168	441	80.295	441	80.295	80.359	80.293	STATUS_POS_EXIT__TP
169	442	80.353	442	80.353	80.383	80.320	STATUS_POS_EXIT__SL
170	443	80.361	443	80.337	80.358	80.291	STATUS_POS_EXIT__SL
171	445	80.300	446	80.319	80.318	80.265	STATUS_POS_EXIT__SL
172	448	80.275	451	80.305	80.305	80.265	STATUS_POS_EXIT__SL
173	453	80.295	462	80.340	80.339	80.300	STATUS_POS_EXIT__SL
174	464	80.308	474	80.357	80.372	80.317	STATUS_POS_EXIT__SL
175	476	80.333	476	80.333	80.333	80.101	STATUS_POS_EXIT__SL
176	477	80.184	477	80.184	80.246	80.173	STATUS_POS_EXIT__TP
177	478	80.236	478	80.236	80.261	80.201	STATUS_POS_EXIT__SL
178	479	80.239	480	80.212	80.339	80.191	STATUS_POS_EXIT__TP
179	482	80.336	482	80.336	80.351	80.287	STATUS_POS_EXIT__SL
180	483	80.311	483	80.311	80.337	80.275	STATUS_POS_EXIT__SL
181	484	80.312	484	80.312	80.322	80.279	STATUS_POS_EXIT__SL
182	485	80.288	485	80.288	80.301	80.206	STATUS_POS_EXIT__SL
183	486	80.217	486	80.217	80.237	80.104	STATUS_POS_EXIT__SL
184	487	80.108	487	80.108	80.189	80.108	STATUS_POS_EXIT__TP
185	488	80.182	488	80.182	80.447	80.170	STATUS_POS_EXIT__TP
186	489	80.399	489	80.399	80.718	80.399	STATUS_POS_EXIT__TP
187	490	80.565	490	80.565	80.591	80.489	STATUS_POS_EXIT__SL
188	491	80.495	491	80.495	80.600	80.470	STATUS_POS_EXIT__TP
189	492	80.552	492	80.544	80.543	80.435	STATUS_POS_EXIT__SL
190	494	80.472	494	80.472	80.474	80.408	STATUS_POS_EXIT__SL
191	495	80.420	498	80.516	80.528	80.473	STATUS_POS_EXIT__SL
192	500	80.487	504	80.615	80.633	80.584	STATUS_POS_EXIT__SL
193	506	80.606	506	80.606	80.613	80.534	STATUS_POS_EXIT__SL
194	507	80.554	507	80.534	80.559	80.497	STATUS_POS_EXIT__SL
195	509	80.509	509	80.509	80.571	80.500	STATUS_POS_EXIT__TP
196	510	80.555	510	80.604	80.618	80.572	STATUS_POS_EXIT__SL
197	512	80.592	512	80.602	80.667	80.596	STATUS_POS_EXIT__TP
198	514	80.656	514	80.680	80.680	80.587	STATUS_POS_EXIT__SL
199	516	80.593	516	80.619	80.626	80.573	STATUS_POS_EXIT__SL
200	518	80.621	518	80.621	80.631	80.589	STATUS_POS_EXIT__SL
201	519	80.602	519	80.602	80.677	80.582	STATUS_POS_EXIT__TP
202	520	80.595	525	80.592	80.592	80.543	STATUS_POS_EXIT__SL
203	527	80.549	527	80.541	80.545	80.502	STATUS_POS_EXIT__SL
204	529	80.509	532	80.559	80.573	80.516	STATUS_POS_EXIT__SL
205	534	80.551	534	80.601	80.601	80.457	STATUS_POS_EXIT__SL
206	536	80.481	536	80.481	80.483	80.418	STATUS_POS_EXIT__SL
207	537	80.423	537	80.423	80.433	80.200	STATUS_POS_EXIT__SL
208	538	80.260	539	80.341	80.416	80.341	STATUS_POS_EXIT__TP
209	541	80.384	541	80.384	80.400	80.334	STATUS_POS_EXIT__SL
210	542	80.347	542	80.347	80.357	80.270	STATUS_POS_EXIT__SL
211	543	80.278	543	80.278	80.278	80.207	STATUS_POS_EXIT__SL
212	544	80.255	544	80.243	80.256	80.203	STATUS_POS_EXIT__SL
213	546	80.210	546	80.210	80.229	80.178	STATUS_POS_EXIT__SL
214	547	80.219	551	80.339	80.349	80.305	STATUS_POS_EXIT__SL
215	553	80.306	553	80.306	80.312	80.271	STATUS_POS_EXIT__SL
216	554	80.281	564	80.424	80.405	80.330	STATUS_POS_EXIT__SL
217	566	80.391	566	80.391	80.415	80.339	STATUS_POS_EXIT__SL
218	567	80.379	567	80.379	80.428	80.348	STATUS_POS_EXIT__SL
219	568	80.361	569	80.410	80.413	80.377	STATUS_POS_EXIT__SL
220	571	80.397	571	80.397	80.413	80.353	STATUS_POS_EXIT__SL
221	572	80.366	575	80.382	80.387	80.344	STATUS_POS_EXIT__SL
222	577	80.346	577	80.346	80.365	80.310	STATUS_POS_EXIT__SL
223	578	80.322	578	80.322	80.349	80.271	STATUS_POS_EXIT__SL
224	579	80.278	579	80.294	80.298	80.248	STATUS_POS_EXIT__SL
225	581	80.260	581	80.260	80.327	80.185	STATUS_POS_EXIT__TP
226	582	80.225	582	80.210	80.590	80.195	STATUS_POS_EXIT__TP
227	584	80.349	584	80.349	80.377	80.221	STATUS_POS_EXIT__SL
228	585	80.253	585	80.290	80.357	80.285	STATUS_POS_EXIT__TP
229	587	80.350	589	80.399	80.425	80.312	STATUS_POS_EXIT__SL
230	591	80.326	591	80.326	80.326	80.255	STATUS_POS_EXIT__SL
231	592	80.292	592	80.273	80.348	80.268	STATUS_POS_EXIT__TP
232	594	80.323	595	80.329	80.332	80.285	STATUS_POS_EXIT__SL
233	597	80.301	599	80.352	80.366	80.321	STATUS_POS_EXIT__SL
234	601	80.343	604	80.397	80.426	80.345	STATUS_POS_EXIT__SL
235	606	80.360	606	80.368	80.373	80.234	STATUS_POS_EXIT__SL
236	608	80.266	608	80.266	80.272	80.157	STATUS_POS_EXIT__SL
237	609	80.193	609	80.193	80.196	80.024	STATUS_POS_EXIT__SL
238	610	80.095	610	80.095	80.159	80.094	STATUS_POS_EXIT__TP
239	611	80.106	612	80.139	80.145	80.083	STATUS_POS_EXIT__SL
240	614	80.090	614	80.090	80.093	80.047	STATUS_POS_EXIT__SL
241	615	80.059	622	80.117	80.122	80.089	STATUS_POS_EXIT__SL
242	624	80.093	624	80.095	80.120	80.060	STATUS_POS_EXIT__SL
243	626	80.062	626	80.043	80.133	80.044	STATUS_POS_EXIT__TP
244	628	80.103	628	80.093	80.127	80.058	STATUS_POS_EXIT__SL
245	630	80.118	630	80.125	80.163	80.094	STATUS_POS_EXIT__SL
246	632	80.116	632	80.116	80.153	80.075	STATUS_POS_EXIT__SL
247	633	80.085	633	80.085	80.092	80.046	STATUS_POS_EXIT__SL
248	634	80.051	634	80.051	80.073	79.980	STATUS_POS_EXIT__SL
249	635	80.004	635	80.004	80.018	79.951	STATUS_POS_EXIT__SL
250	636	79.976	640	80.012	80.015	79.959	STATUS_POS_EXIT__SL
251	642	79.958	643	79.954	79.974	79.910	STATUS_POS_EXIT__SL
252	645	79.918	646	79.956	79.964	79.928	STATUS_POS_EXIT__SL
253	648	79.937	654	80.004	80.003	79.968	STATUS_POS_EXIT__SL
254	656	79.986	656	79.975	80.042	79.973	STATUS_POS_EXIT__TP
255	658	80.036	661	80.036	80.036	80.001	STATUS_POS_EXIT__SL
256	663	80.028	668	80.069	80.071	80.030	STATUS_POS_EXIT__SL
257	670	80.045	671	80.059	80.060	80.014	STATUS_POS_EXIT__SL
258	673	80.018	675	80.023	80.069	79.993	STATUS_POS_EXIT__SL
259	677	80.017	677	80.017	80.017	79.964	STATUS_POS_EXIT__SL
260	678	79.988	698	80.067	80.111	80.025	STATUS_POS_EXIT__SL
261	700	80.026	700	80.030	80.090	80.024	STATUS_POS_EXIT__TP
262	702	80.055	709	80.062	80.063	80.010	STATUS_POS_EXIT__SL
263	711	80.034	716	80.055	80.055	80.022	STATUS_POS_EXIT__SL
264	718	80.023	720	80.055	80.056	80.016	STATUS_POS_EXIT__SL
265	722	80.045	722	80.045	80.048	80.007	STATUS_POS_EXIT__SL
266	724	80.013	734	80.009	80.012	79.959	STATUS_POS_EXIT__SL
267	736	79.991	736	79.991	79.991	79.961	STATUS_POS_EXIT__SL
268	737	79.964	747	79.987	80.047	79.978	STATUS_POS_EXIT__TP
269	749	80.017	749	80.017	80.021	79.986	STATUS_POS_EXIT__SL
270	750	80.008	756	80.031	79.976	79.877	STATUS_POS_EXIT__SL
271	758	79.972	758	79.978	79.987	79.950	STATUS_POS_EXIT__SL
272	760	79.982	760	79.976	80.023	79.941	STATUS_POS_EXIT__SL
273	762	80.012	768	79.989	80.004	79.961	STATUS_POS_EXIT__SL
274	770	79.975	770	79.991	80.071	79.980	STATUS_POS_EXIT__TP
275	772	80.061	772	80.061	80.079	80.027	STATUS_POS_EXIT__SL
276	773	80.037	773	80.037	80.056	79.995	STATUS_POS_EXIT__SL
277	774	80.000	774	80.000	80.002	79.906	STATUS_POS_EXIT__SL
278	775	79.908	775	79.908	79.981	79.903	STATUS_POS_EXIT__TP
279	776	79.970	776	79.970	79.983	79.939	STATUS_POS_EXIT__SL
280	777	79.942	780	79.948	79.962	79.913	STATUS_POS_EXIT__SL
281	782	79.943	782	79.943	79.957	79.913	STATUS_POS_EXIT__SL
282	783	79.922	783	79.922	79.923	79.878	STATUS_POS_EXIT__SL
283	784	79.887	784	79.887	79.891	79.849	STATUS_POS_EXIT__SL
284	785	79.849	793	79.938	79.949	79.894	STATUS_POS_EXIT__SL
285	795	79.919	795	79.919	79.923	79.874	STATUS_POS_EXIT__SL
286	796	79.877	811	79.887	79.887	79.843	STATUS_POS_EXIT__SL
287	813	79.857	817	79.853	79.858	79.821	STATUS_POS_EXIT__SL
288	819	79.823	819	79.824	79.837	79.774	STATUS_POS_EXIT__SL
289	821	79.774	821	79.774	79.857	79.773	STATUS_POS_EXIT__TP
290	822	79.848	826	79.851	79.848	79.813	STATUS_POS_EXIT__SL
291	828	79.813	828	79.837	79.840	79.804	STATUS_POS_EXIT__SL
292	830	79.810	843	79.870	79.877	79.815	STATUS_POS_EXIT__SL
293	845	79.819	851	79.884	79.885	79.854	STATUS_POS_EXIT__SL
294	853	79.810	864	79.842	79.845	79.781	STATUS_POS_EXIT__SL
295	866	79.798	866	79.798	79.805	79.725	STATUS_POS_EXIT__SL
296	867	79.732	867	79.732	79.745	79.632	STATUS_POS_EXIT__SL
297	868	79.695	868	79.695	79.727	79.591	STATUS_POS_EXIT__SL
298	869	79.597	869	79.603	79.607	79.548	STATUS_POS_EXIT__SL
299	871	79.590	871	79.590	79.692	79.589	STATUS_POS_EXIT__TP
300	872	79.685	872	79.685	79.689	79.629	STATUS_POS_EXIT__SL
301	873	79.679	875	79.682	79.683	79.644	STATUS_POS_EXIT__SL
302	877	79.671	880	79.710	79.710	79.663	STATUS_POS_EXIT__SL
303	882	79.671	887	79.690	79.693	79.632	STATUS_POS_EXIT__SL
304	889	79.692	889	79.692	79.713	79.647	STATUS_POS_EXIT__SL
305	890	79.666	890	79.666	79.667	79.636	STATUS_POS_EXIT__SL
306	891	79.656	891	79.656	79.664	79.613	STATUS_POS_EXIT__SL
307	892	79.625	892	79.625	79.632	79.579	STATUS_POS_EXIT__SL
308	893	79.599	894	79.572	79.592	79.527	STATUS_POS_EXIT__SL
309	896	79.539	896	79.542	79.589	79.509	STATUS_POS_EXIT__SL
310	898	79.578	902	79.564	79.572	79.534	STATUS_POS_EXIT__SL
311	904	79.564	908	79.538	79.542	79.506	STATUS_POS_EXIT__SL
312	910	79.541	914	79.556	79.557	79.500	STATUS_POS_EXIT__SL
313	916	79.510	916	79.510	79.532	79.469	STATUS_POS_EXIT__SL
314	917	79.514	917	79.514	79.540	79.483	STATUS_POS_EXIT__SL
315	918	79.497	919	79.500	79.502	79.434	STATUS_POS_EXIT__SL
316	921	79.457	921	79.457	79.483	79.372	STATUS_POS_EXIT__SL
317	922	79.373	922	79.373	79.376	79.286	STATUS_POS_EXIT__SL
