[20190325_180708 / views.py:13410]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190325_180701).(USDJPY-M5).[sec-1.A-6.3-seq].(20190325_180708).csv
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
bars	50000

[20190325_180709 / views.py:13479]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
112	2018.06.22 22:10	2018.06.22 22:15	2018.06.22 22:20	0.010	0.000	0.002
113	2018.06.22 22:15	2018.06.22 22:20	2018.06.22 22:25	0.000	0.002	0.011
114	2018.06.22 22:20	2018.06.22 22:25	2018.06.22 22:30	0.002	0.011	0.029
115	2018.06.22 22:45	2018.06.22 22:50	2018.06.22 22:55	0.000	0.003	0.026
116	2018.06.22 22:50	2018.06.22 22:55	2018.06.22 23:00	0.003	0.026	0.006
117	2018.06.22 22:55	2018.06.22 23:00	2018.06.22 23:05	0.026	0.006	0.008
118	2018.06.25 02:20	2018.06.25 02:25	2018.06.25 02:30	0.004	0.002	0.018
119	2018.06.25 02:25	2018.06.25 02:30	2018.06.25 02:35	0.002	0.018	0.000
120	2018.06.25 02:30	2018.06.25 02:35	2018.06.25 02:40	0.018	0.000	0.013
121	2018.06.25 02:35	2018.06.25 02:40	2018.06.25 02:45	0.000	0.013	0.022
122	2018.06.25 02:40	2018.06.25 02:45	2018.06.25 02:50	0.013	0.022	0.008
123	2018.06.25 02:45	2018.06.25 02:50	2018.06.25 02:55	0.022	0.008	0.034
124	2018.06.25 05:20	2018.06.25 05:25	2018.06.25 05:30	0.026	0.005	0.009
125	2018.06.25 05:25	2018.06.25 05:30	2018.06.25 05:35	0.005	0.009	0.000
126	2018.06.25 05:30	2018.06.25 05:35	2018.06.25 05:40	0.009	0.000	0.000
127	2018.06.25 06:30	2018.06.25 06:35	2018.06.25 06:40	0.005	0.013	0.006
128	2018.06.25 06:35	2018.06.25 06:40	2018.06.25 06:45	0.013	0.006	0.020
129	2018.06.25 08:55	2018.06.25 09:00	2018.06.25 09:05	0.005	0.023	0.002
130	2018.06.25 10:35	2018.06.25 10:40	2018.06.25 10:45	0.007	0.029	0.015
131	2018.06.25 12:35	2018.06.25 12:40	2018.06.25 12:45	0.020	0.003	0.000
